SMILES,Valid,MW,LogP,TPSA
Cl.N[C@@H](CNC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)O,True,268.229,0.1282,147.59
COC(=O)[C@@H](N)COC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl,True,283.24,0.6436,133.79
COC(=O)[C@@H](N)CCC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl,True,281.268,0.8138,124.56
COC(=O)[C@@H](N)CNC(=O)Nc1ccc([N+](=O)[O-])cc1.Cl,True,282.256,0.2166,136.59
C[C@]1(/C=C/C#N)[C@H](C(=O)[O-])N2C(=O)C[C@H]2S1(=O)=O.[Na+],True,270.266,-0.7351,115.54
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1[18F],True,181.1499,-2.2442,90.15
[13CH3]C(=O)Oc1ccccc1C(=O)O,True,181.1666,1.3101,63.6
[2H]C([2H])([2H])Oc1cc2c(cc1OC([2H])([2H])[2H])C1CC(=O)C(CC(C)C)CN1CC2,True,323.4656,3.2381,38.77
[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,True,425.4673,1.7324,135.95
[2H]C([2H])([2H])NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,True,467.8493,5.5497,92.35
Nc1nc2c(n1)c(O)nc[nH]2,True,151.129,-0.7716,100.45
NCCC1=CNC=N1,True,111.148,-0.0891,54.7
Oc1ccccn1,True,95.101,0.3749,32.86
CC(=O)C=C(O)C,True,100.117,0.5545,34.14
O=C1C=C(O)NC(=O)N1,True,128.087,-1.2312,85.95
CC(C)Cc1ccc(cc1)C(C)C(=O)[O-],True,206.285,3.0732,37.3
C[NH2+]CCC(c1ccccc1)Oc2ccc(C(F)(F)F)cc2,True,309.331,4.435,21.26
Clc1ccc(cc1)C(c2ccccc2)N3CC[NH+](CCOCC(=O)[O-])CC3,True,388.895,3.1482,53.01
[NH3+]CCC1=CC(=C(O)C=C1)O,True,153.181,0.599,66.48
O=C([O-])c1ccccc1O,True,138.122,1.0904,57.53
[2H]C([2H])([2H])OC(=O)c1ccccc1O.[Na+],True,155.1673,1.1788,46.53
Oc1nc(O)c2[nH]cnc2n1,True,152.113,-1.0605,94.4
[13CH3][13C](=O)O.[K+],True,62.0367,0.0909,37.3
C1=CC=C(C=C1)C(=O)O.C1=CC=C(C=C1)N,True,122.123,1.3848,37.3
CC(=O)C=C(O)C.[Na+],True,100.117,0.5545,34.14
