SMILES,Similarity,Rank
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1.0,1
Cl.N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1.0,2
[NH3+][C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-],1.0,3
[Na+].N[C@@H](Cc1ccc(O)c(O)c1)C(=O)[O-],1.0,4
N[C@H](Cc1ccc(O)c(O)c1)C(=O)O,1.0,5
Cl.N[C@H](Cc1ccc(O)c(O)c1)C(=O)O,1.0,6
N[C@@H](Cc1cc(O)c(O)cc1)C(=O)O,1.0,7
N[C@H](Cc1ccc(O)c(OC)c1)C(=O)O,0.6666666666666666,8
N[C@@H](Cc1ccc(O)c(OC)c1)C(=O)O,0.6666666666666666,9
N[C@@H](Cc1ccc(OC)c(O)c1)C(=O)O,0.6666666666666666,10
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)OC,0.6571428571428571,11
N[C@@H](Cc1ccc(O)cc1)C(=O)O,0.6451612903225806,12
CC(=O)N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0.5945945945945946,13
CC(N)Cc1ccc(O)c(O)c1,0.59375,14
N[C@@H](Cc1ccccc1)C(=O)O,0.5806451612903226,15
N[C@@H](Cc1ccc(O)c(O)c1)CO,0.5757575757575758,16
NCCc1ccc(O)c(O)c1,0.45454545454545453,17
NCC(O)c1ccc(O)c(O)c1,0.35135135135135137,18
CNC[C@H](O)c1ccc(O)c(O)c1,0.2926829268292683,19
c1ccccc1,0.07142857142857142,20
