smiles,alert_type,smarts,match_atom_indices
COc1ccc2ccc(=O)oc2c1CC=C(C)C,cumarine,c1ccc2c(c1)ccc(=O)o2,"3,2,12,11,5,4,6,7,8,9,10"
COc1ccc2ccc(=O)oc2c1CC=C(C)C,isolated alkene,"[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]=[$([CH2]),$([CH][CX4]),$(C([CX4])[CX4])]","14,15"
COc1ccc2ccc(=O)oc2c1CC=C(C)C,Filter14_thio_oxopyrylium_salt,"c1ccc[s,o;X2]c1","5,6,7,8,10,11"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Michael acceptor,"C=!@CC=[O,S]","16,15,13,14"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,phenylethene,c1ccccc1!@[CH]=!@[C!H0],"18,19,20,22,23,17,16,15"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Ketone,[#6]-C(=O)-[#6],"12,13,14,15"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Dye 9,ac-*=&!@*-&!@C(=O)-&!@ca,"18,17,16,15,13,14,12,11; 18,17,16,15,13,14,12,24; 23,17,16,15,13,14,12,11; 23,17,16,15,13,14,12,24"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","4,5,8,9"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,vinyl michael acceptor1,"[#6]-[CH1]=C-C(=O)[#6,#7,#8]","17,16,15,13,14,12"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,Filter44_michael_acceptor2,"[#6,#1,OH0][C!$(C1(=O)C=CC(=O)C=C1)](=O)C=[C!$(C[Nv3X3,OH])]","12,13,14,15,16"
Cc1ccc(S(=O)(=O)Nc2ccc(C(=O)/C=C/c3ccc(O)cc3)cc2)cc1,alpha beta-unsaturated ketones; center of Michael reactivity,"[$(C#N),$(N(~O)~O),$(C=O),$(S(=O)=O),$(C(F)(F)F),Cl][C!H0]=[C!H0]","13,15,16"
C[C@H]1CNCCCN1S(=O)(=O)c1cccc2cncc(F)c12,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","1,7,8,11; 6,7,8,11"
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,halogenated ring,"c1cc([Cl,Br,I,F])cc([Cl,Br,I,F])c1[Cl,Br,I,F]","25,24,22,23,21,28,29,26,27"
C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,aniline,[NH2D1]-c(:*):*,"20,19,18,3"
CC(C)CNCc1ccc(-c2ccccc2S(=O)(=O)N2CCCC2)cc1,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","15,16,19,20; 15,16,19,23"
COc1ccc(S(=O)(=O)N2Cc3[nH]c4ccccc4c3CC2C(N)=O)cc1,Hetero_hetero,"*[N,S,O]-&!@[N,S,O][#6]","5,6,9,10; 5,6,9,21"
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,aniline,c1cc([NH2])ccc1,"11,12,14,15,16,17,10"
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,analine,"c1ccccc1[NH2,NH3+]","12,11,10,17,16,14,15"
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,Long aliphatic chain,"[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]-&!@[N,C,S,O]","0,1,2,5,6,7,8; 4,3,2,5,6,7,8"
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,aniline,[NH2D1]-c(:*):*,"15,14,12,16"
