ID,XYZ_BLOCK
MOL_01,"12

C      0.803764   -1.139861    0.014868
C      1.389114    0.126084   -0.002129
C      0.585350    1.265944   -0.017006
C     -0.803764    1.139860   -0.014884
C     -1.389114   -0.126084    0.002114
C     -0.585350   -1.265945    0.016990
H      1.429989   -2.027943    0.026473
H      2.471394    0.224319   -0.003767
H      1.041405    2.252261   -0.030234
H     -1.429988    2.027943   -0.026459
H     -2.471394   -0.224317    0.003784
H     -1.041406   -2.252261    0.030250
"
MOL_02,"21

C     -2.617365   -2.242705    0.119329
C     -1.722109   -1.137720   -0.355777
O     -1.548922   -0.844346   -1.531804
O     -1.160503   -0.507330    0.749060
C     -0.238069    0.480698    0.392362
C     -0.690744    1.803830    0.420054
C      0.186036    2.839423    0.102935
C      1.510330    2.554010   -0.227835
C      1.964657    1.231037   -0.236061
C      1.095144    0.175960    0.081861
C      1.578493   -1.229795    0.103379
O      0.950886   -2.217581    0.437976
O      2.859016   -1.341682   -0.299848
H     -3.016709   -2.781325   -0.744779
H     -3.450727   -1.824516    0.689073
H     -2.046877   -2.946464    0.730703
H     -1.722402    2.025201    0.678746
H     -0.162774    3.869270    0.111524
H      2.193765    3.362364   -0.477992
H      3.004206    1.036487   -0.490249
H      3.034667   -2.304815   -0.252659
"
MOL_03,"24

C      3.267351    0.612784   -0.236411
N      2.126427   -0.266619   -0.267475
C      2.151319   -1.616341   -0.500526
N      0.941308   -2.138522   -0.463385
C      0.124125   -1.081586   -0.197628
C      0.820856    0.081684   -0.071734
C      0.205390    1.332141    0.206011
O      0.842723    2.375157    0.317573
N     -1.183291    1.234987    0.334370
C     -1.940050    0.050636    0.211144
O     -3.167748    0.066136    0.341938
N     -1.242280   -1.126209   -0.062624
C     -1.946208   -2.387576   -0.204515
C     -1.929541    2.444962    0.618856
H      4.176458    0.037473   -0.429537
H      3.141667    1.373556   -1.010802
H      3.325812    1.072332    0.753361
H      3.066097   -2.164168   -0.689544
H     -1.576214   -3.090024    0.549068
H     -3.024849   -2.269992   -0.071853
H     -1.759298   -2.790539   -1.204966
H     -2.475257    2.313473    1.559021
H     -2.657054    2.610820   -0.182532
H     -1.287740    3.325436    0.702189
"
MOL_04,"33

C     -4.704220   -0.479969    0.548172
C     -3.291984    0.026207    0.244279
C     -3.086768    1.399306    0.889284
C     -2.252839   -1.002340    0.731956
C     -0.841129   -0.699282    0.290167
C      0.108656   -0.236281    1.207007
C      1.414040    0.047540    0.796760
C      1.801621   -0.127534   -0.539519
C      0.846473   -0.595346   -1.454377
C     -0.459331   -0.877475   -1.044236
C      3.212804    0.185316   -1.012737
C      3.574523    1.654355   -0.792203
C      4.273532   -0.694420   -0.372996
O      4.276815   -1.183358    0.744592
O      5.339516   -0.879956   -1.183969
H     -5.457818    0.226446    0.184132
H     -4.856159   -0.612924    1.624786
H     -4.886329   -1.442262    0.058094
H     -3.207361    0.145332   -0.843355
H     -2.120269    1.830110    0.609822
H     -3.128574    1.335329    1.981940
H     -3.862493    2.100387    0.562735
H     -2.292413   -1.082995    1.826284
H     -2.512566   -2.000421    0.354075
H     -0.158659   -0.093215    2.251581
H      2.130263    0.394996    1.539027
H      1.107849   -0.744073   -2.499959
H     -1.178450   -1.240035   -1.775389
H      3.253015   -0.012694   -2.092733
H      2.837672    2.316643   -1.259701
H      4.555256    1.881363   -1.225003
H      3.627311    1.906138    0.273005
H      5.938014   -1.444885   -0.650799
"
MOL_05,"13

O     -2.174008   -1.704033    0.820700
C     -1.797841   -0.669495    0.300265
O     -2.700805    0.215680   -0.173818
C     -0.391382   -0.222148    0.104453
C     -0.092052    0.988053   -0.507652
N      1.183725    1.418074   -0.697669
C      2.147360    0.582551   -0.247568
C      1.854562   -0.625580    0.363631
N      0.586516   -1.056158    0.554115
H     -3.561573   -0.213518    0.025529
H     -0.863226    1.659402   -0.869238
H      3.170222    0.912269   -0.392211
H      2.638502   -1.285097    0.719464
"
MOL_06,"25

C      4.478970    0.108820    0.119448
C      3.729527    0.634063    1.169367
C      2.331233    0.596410    1.124818
C      1.663604    0.031751    0.027278
C      2.437226   -0.492162   -1.020546
C      3.833191   -0.454957   -0.976832
C      0.198875   -0.032210   -0.067633
N     -0.669982    0.444671    0.889813
C     -1.957803    0.221338    0.477297
C     -3.196692    0.502358    1.056882
C     -4.329617    0.120217    0.328402
C     -4.216426   -0.509498   -0.913974
C     -2.958973   -0.778291   -1.469908
C     -1.814006   -0.402238   -0.753644
N     -0.488002   -0.550103   -1.072865
H      5.564871    0.138533    0.154976
H      4.234130    1.074477    2.025781
H      1.788077    1.017157    1.964685
H      1.945942   -0.936725   -1.885358
H      4.410729   -0.866976   -1.800199
H     -0.405815    0.886942    1.755095
H     -3.285531    0.990887    2.020741
H     -5.318436    0.317557    0.737877
H     -5.113127   -0.795672   -1.458496
H     -2.861965   -1.266350   -2.433006
"
MOL_07,"17

C     -2.354975   -0.595521    0.017539
C     -2.358555    0.747761   -0.366510
C     -1.155734    1.441268   -0.486715
C      0.038813    0.776589   -0.219385
C      0.060918   -0.562954    0.164802
C     -1.148176   -1.251235    0.283113
C      1.341036   -1.198548    0.429372
C      2.465952   -0.488747    0.299463
C      2.465929    0.928306   -0.105442
O      3.519062    1.546125   -0.213722
O      1.231913    1.513323   -0.352578
H     -3.295541   -1.133759    0.110372
H     -3.299527    1.252394   -0.571680
H     -1.148923    2.485574   -0.784662
H     -1.166772   -2.296719    0.580647
H      1.364447   -2.240376    0.728568
H      3.440135   -0.923481    0.486817
"
MOL_08,"22

N     -3.848488    0.319993   -0.285655
C     -2.435790    0.037894   -0.538142
C     -1.577518    0.369559    0.686998
C     -0.117184    0.075730    0.440013
C      0.416742   -1.187048    0.750319
C      1.763861   -1.473665    0.507612
C      2.574282   -0.493896   -0.051604
O      3.898620   -0.713273   -0.313551
C      2.050181    0.756687   -0.366898
O      2.853879    1.712333   -0.920444
C      0.714878    1.050533   -0.128359
H     -4.383811    0.120520   -1.130274
H     -3.969409    1.316222   -0.104778
H     -2.103639    0.619145   -1.406206
H     -2.329383   -1.021546   -0.797838
H     -1.692142    1.427322    0.957923
H     -1.921274   -0.203222    1.558228
H     -0.220189   -1.955247    1.185330
H      2.151950   -2.455243    0.758653
H      4.113440   -1.619603   -0.033633
H      3.729940    1.282884   -0.986956
H      0.331056    2.033921   -0.384859
"
MOL_09,"20

C      3.667251   -0.509416    0.248687
C      2.220015   -0.887723    0.052098
O      1.904726   -2.044754   -0.201291
N      1.375449    0.201816    0.164752
C     -0.028810    0.217427    0.036931
C     -0.670057    1.455357    0.183283
C     -2.059117    1.555472    0.071763
C     -2.810816    0.417914   -0.186077
O     -4.162422    0.556972   -0.287782
C     -2.194826   -0.818673   -0.333886
C     -0.802940   -0.916630   -0.221674
H      4.233876   -1.391355    0.561171
H      4.073723   -0.131289   -0.692946
H      3.770565    0.252249    1.026929
H      1.810015    1.096191    0.353234
H     -0.102149    2.359287    0.385450
H     -2.551058    2.517148    0.185711
H     -4.549108   -0.315616   -0.469215
H     -2.770326   -1.716713   -0.535452
H     -0.353989   -1.897664   -0.341686
"
MOL_10,"18

C      0.331155   -1.375593   -0.297236
C      1.456807   -0.344329   -0.193390
C      0.965080    1.069217    0.125162
C     -0.439230    1.315205   -0.409370
C     -1.456808    0.344330    0.193391
C     -0.857006   -1.008828    0.581445
H     -0.002239   -1.445120   -1.340459
H      0.713786   -2.366059   -0.026149
H      2.170428   -0.650198    0.581327
H      2.015809   -0.339257   -1.137048
H      1.664436    1.803945   -0.289559
H      0.965964    1.217336    1.212526
H     -0.749158    2.346294   -0.205123
H     -0.432350    1.202287   -1.500930
H     -2.270370    0.197014   -0.527313
H     -1.915867    0.792439    1.083032
H     -0.531376   -0.974503    1.628864
H     -1.629063   -1.784180    0.520829
"
