lead_id,lead_smiles,drd2
DR_001,Fc1cc(F)c2c(c1)[C@H](N1CCC[C@H](c3nncn3C3CC3)C1)CC2,0.6898
DR_002,OCCOc1cccc(CN2CCC[C@H](c3n[nH]cc3-c3ccc(Cl)cc3)C2)c1,0.6869
DR_003,[NH3+]CCCN1CC[C@H](c2ccccc2)C1,0.6767
DR_004,C[C@@H]1c2cc(F)ccc2CCN1C(=O)NC[C@H]1CN2CCCC[C@@H]2CO1,0.6763
DR_005,C[C@@H]1C[NH+](C)CCN1CC1CCN(C(=O)c2ccc(F)c(F)c2)CC1,0.6694
DR_006,Cc1cc(Br)c2c(c1)[C@H](NCCc1ccncc1C)CCO2,0.6629
DR_007,COCCN1CCN(c2c3c(nc4cc(-c5cccc(F)c5)nn24)CCCC3)CC1,0.6469
DR_008,OCCC#Cc1ccc(CN2CCN(c3nc4ccccc4o3)CC2)cc1,0.6409
DR_009,C[C@H](Cc1ccc(Cl)cc1)[NH2+]C1CCN(CC[NH+](C)C)CC1,0.6366
DR_010,COc1ccc(OCC#CCN2CCN(c3ccccc3)CC2)cc1,0.6366
DR_011,O=S(=O)(c1cc(F)ccc1F)N1CCN(C2CC2)C[C@H]1c1ccccc1,0.6301
DR_012,C[C@@H]1CN(Cc2ccccc2)CCN1C(=O)CCCc1c[nH]c2ccccc12,0.6287
DR_013,CCCCN1CCc2[nH]c[nH+]c2C12CCN(c1noc(-c3ccccc3)n1)CC2,0.6076
DR_014,COc1ccccc1N1CCN(C(=O)CN2CCN(c3ccccc3F)CC2)CC1,0.6033
DR_015,Fc1ccc(CN2CCC[C@@H](c3nccnc3-c3ccc(F)cc3)C2)cc1,0.599
DR_016,O=C1C[C@@H](c2ccccc2)N1CN1CCO[C@H](c2ccc(F)c(F)c2)C1,0.5974
DR_017,CCN(CC1CC[NH+](C2CCN(C)CC2)CC1)C(=O)c1ccccc1-c1ccc(F)cc1,0.5925
DR_018,Fc1ccc([C@@H]2CN(C[C@H]3CC=CCC3)CCO2)cc1F,0.5874
DR_019,Cc1ccc(C)c(N2CCN(C[C@H](O)c3ccc4c(c3)CCO4)CC2)c1,0.5657
DR_020,O=C(c1cc(=O)[nH]c([O-])n1)N1CCN([C@@H]2CCc3ccccc3C2)CC1,0.5656
DR_021,C[C@H]1C[C@@H](c2cccc(F)c2)N(CCc2cnn(C)c2)C1,0.5583
DR_022,COc1ccc(Br)cc1C[NH+]1CCN(Cc2ccc(F)cc2)CC1,0.556
DR_023,Clc1ccc2c(c1)CC[C@H]2NCc1nc2c(s1)CCC2,0.5537
DR_024,CN1CCc2nc[nH]c2C12CC[NH+](Cc1cnn(-c3ccccc3F)c1)CC2,0.5521
DR_025,C[C@H]1CN(C[C@@H]2CCCO2)CC[C@@H]1[NH2+]CC1(c2c(F)cccc2F)CC1,0.5495
DR_026,C[C@H](C(=O)N1CCc2ccccc2C1)N1CCN(c2[nH+]ccn2C)CC1,0.5464
DR_027,O=C(NC[C@@H]1CCCN(c2ncccn2)C1)N1CCN(CC(F)F)CC1,0.5414
DR_028,COc1ccccc1CN(C)C(=O)CN1CCN(c2ccccc2)CC1,0.538
DR_029,O=c1cc(CCCN2CCOCC2)nc(N[C@@H]2CCCc3ccccc32)[nH]1,0.5279
DR_030,CC(C)n1cc([C@@H](C)[NH2+][C@@H]2C[C@@H]3CCCc4cccc2c43)cn1,0.5213
DR_031,CC(=O)c1ccc(N2CCN(Cc3ncc(-c4ccc(F)cc4)o3)CC2)cc1,0.5165
DR_032,CC[NH2+][C@H]1CC[C@@H](Cc2cccc(O)c2)C1,0.5105
DR_033,C[C@@H](CN1CCOCC1)C(=O)N1CCC(c2ccc(Nc3ncccn3)cn2)CC1,0.5
DR_034,C[NH+](C)CCN1CCC([NH2+]Cc2ccc(-n3ccnc3)cc2)CC1,0.5
DR_035,N#C[C@@H](c1ccccc1)[C@H]1CCCN1Cc1c[nH]nc1-c1ccc(F)cc1,0.5
DR_036,CCC[NH+](C)C[C@@H]1CCN(CCN2CCCc3ccccc32)C1,0.4938
DR_037,N#C[C@H](c1ccccc1)[C@@H]1CCCN1C/C=C/Cl,0.4923
DR_038,C[C@H](CNC(=O)N1CCCN(CC(F)F)CC1)c1ccsc1,0.49
DR_039,Oc1cccc(C[NH2+]C[C@H]2C[C@@]23CCc2ccccc23)c1,0.4896
DR_040,Cc1cc(CN2CC[NH+]([C@@H]3CCCc4ccccc43)CC2)on1,0.489
DR_041,O=C(NCCc1c[nH]c2ccc(F)cc12)N[C@H]1CCc2c(O)cccc21,0.4858
DR_042,N#Cc1ccc(/C=C/C[NH2+]C2CCN(Cc3ccccn3)CC2)cc1,0.4809
DR_043,C[NH+]1CCN(Cc2cccc(C(=O)c3cc(F)cc(Cl)c3)c2)CC1,0.4771
DR_044,Cc1ccc2ncc(CN3CCN(CC(=O)N4CCc5ccccc54)CC3)n2c1,0.4757
DR_045,c1nc(CCN2CCC[NH+]3CCCC[C@@H]3C2)cs1,0.474
DR_046,Cc1ccsc1/C=C1\Oc2c(ccc(O)c2CN2CCN(c3ccc(F)cc3)CC2)C1=O,0.4697
DR_047,COc1cc(CN2CCN(c3ccc(F)cc3)CC2)cc(OC)c1O,0.4657
DR_048,COc1ccc(Br)cc1C[NH2+]C1CCN(CC[NH+](C)C)CC1,0.4634
DR_049,c1ccc([C@@H]2c3[nH]c4ccccc4c3CCN2Cc2c[nH]nc2C2CCCCC2)nc1,0.4541
DR_050,COc1ccc(C(=O)N2CCC[C@H](N3CCN(c4ccc(F)cc4)CC3)C2)c(OC)c1,0.4529
DR_051,Fc1ccc2c(c1)CN(Cc1ccc(N3CCOCC3)c(F)c1)CC2,0.4528
DR_052,C[S@@](=O)c1ccc(CN2CCc3cc(Cl)cc(Cl)c3C2)cc1,0.4502
DR_053,CCN1CCc2nc[nH]c2C12CC[NH+](Cc1cccc(-n3cccn3)c1)CC2,0.442
DR_054,CC[NH2+][C@H]([C@@H]1Cc2ccccc21)[C@H]1CCc2cccnc21,0.4413
DR_055,Cc1cccc2[nH]cc(CC(=O)N3CCC[C@H](CN4CCOCC4)C3)c12,0.4396
DR_056,CCc1cccc2c(CCNC(=O)c3scnc3C3CC3)c[nH]c12,0.4283
DR_057,C[C@@]12CC[C@H]3c4cc(Br)c(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,0.4261
DR_058,C[NH+](C)C[C@@H]1CN(Cc2ccc(F)c(F)c2)C[C@H]1c1ccnc(N2CCCC2)n1,0.4258
DR_059,O=C(CN1CCc2cc(F)ccc2C1)NCCc1ccc(F)cc1,0.4248
DR_060,C[NH2+][C@H]1CC[C@H](Cc2ccc(O)cc2)C1,0.4228
DR_061,C[C@@]1([C@@H](Cl)c2ccc3c(c2)CCC3)CCCO1,0.4215
DR_062,CC[NH2+][C@H](Cc1ccc(O)cc1)[C@H]1CCc2ccccc21,0.4198
DR_063,C[C@H]1C[C@@H](N[C@@H]2CCN(CC(F)(F)F)C2)CC[NH+]1Cc1ccccc1,0.4192
DR_064,Cc1ncc([C@@H](C)NCCc2c[nH]c3ccccc23)s1,0.416
DR_065,CCC1(C)COC2(OC1)C(=O)N(CN1CCN(c3ccccc3F)CC1)c1ccccc12,0.4157
DR_066,C[NH+](C)C1CCN(CC[NH2+][C@H](c2cccs2)C2CC2)CC1,0.4154
DR_067,C[C@H](CNC(=O)N[C@H]1CCc2ccccc21)N1CCN(c2ccccc2)CC1,0.4101
DR_068,O=C(c1ccc(O)cc1)N1CCN(CCc2ccccc2Cl)CC1,0.4056
DR_069,O=C1N(c2ccccn2)C[C@H]2CN(Cc3cccc(OC(F)(F)F)c3)CCN12,0.4017
DR_070,CCCN[C@@H](C[NH3+])c1cccc(C2CC2)c1,0.3973
DR_071,O=C(c1cn(-c2ccccc2)nc1-c1ccccc1)N1CCN(C[C@H]2CCCO2)CC1,0.3942
DR_072,Fc1ccc(Cc2cccc([C@H]3CCCN(Cc4ccncc4)C3)n2)cc1,0.3941
DR_073,COc1ccc(C[NH2+]C[C@H](C)N2CCc3ccccc3C2)cc1,0.3879
DR_074,N#C[C@H](c1ccc(Br)cc1)N1CCN([C@H](C#N)c2ccc(Br)cc2)CC1,0.3869
DR_075,c1cc([NH+]2CCCN3CCCC[C@@H]3C2)cs1,0.3851
DR_076,C[C@@H]1C[C@@H]([NH2+]C[C@]2(O)CCc3ccccc32)CN1C,0.3846
DR_077,C[C@@H]1CCN[C@H](C2CC2)C[NH+]1Cc1ccc(O)cc1,0.3756
DR_078,CCCN(CC[NH2+]C)C[C@@H]1Cc2ccccc2S1,0.3696
DR_079,Cc1c(CC(=O)N2CCN(CCO)CC2)c(=O)oc2cc3occ(-c4ccc(F)cc4)c3cc12,0.369
DR_080,CCN(CCc1ccncc1)[C@@H](C)c1cccc(O)c1,0.3676
DR_081,C=CCc1cc(C[NH+]2CCCC[C@H]2c2cn[nH]c2)cc(OC)c1O,0.3612
DR_082,C#CCN1CCC(C(=O)N[C@H]2CCCc3ccccc32)CC1,0.3549
DR_083,CC[NH2+][C@H](Cc1[nH+]ccn1C)[C@@H]1Cc2ccccc21,0.3537
DR_084,Cc1cccc(N2CCN(Cc3nnc([S-])n3-c3ccccc3)CC2)c1C,0.3527
DR_085,COc1ccc(-c2n[nH]cc2CN2CCN(c3ccccc3OC)CC2)cc1,0.3527
DR_086,c1ccc(CCN2CCc3[nH]c[nH+]c3[C@H]2c2cnn(-c3ccccc3)c2)cc1,0.3524
DR_087,Fc1ccc([C@H]2CCC[C@@H]2[NH2+][C@@H]2CCc3n[nH]cc3C2)cc1,0.3524
DR_088,Cc1ccc2oc([C@H]3CCN(Cc4ccccc4)C3)nc2c1,0.352
DR_089,C[C@@H](C1CC1)N(C(=O)N[C@H](C)CN1CCN(c2cccc[nH+]2)CC1)C1CC1,0.351
DR_090,CC[NH2+][C@@H](Cc1cnn(C)c1)[C@H]1CN2CCC[C@@H]2CO1,0.3499
DR_091,CC[NH2+][C@H]1CCC[C@H]([C@@H]2CCc3cccnc32)C1,0.3487
DR_092,Clc1nc2ccccc2cc1CN1CCN(c2ncccn2)CC1,0.3481
DR_093,C[C@@H](c1ccncc1)N1CCC([NH2+]C2CCN(C3CCCC3)CC2)CC1,0.344
DR_094,CC[C@@H](NC(=O)N1CCc2ccc(O)cc2C1)c1cccc(Cl)c1,0.3436
DR_095,O=C(CN1CCN(c2ccnc(-c3ccccc3)n2)CC1)NC1CC1,0.3407
DR_096,CCC([NH3+])(CC)CN(C)CCc1ccncc1,0.3374
DR_097,C[C@@H]1CN(CCCC[NH2+]Cc2cc(F)ccc2Br)C[C@@H](C)O1,0.3344
DR_098,CC[C@H](C)NC(=O)c1ccc(CN2CCc3ccccc3C2)cc1,0.3315
DR_099,C[C@H]1CN(CCCCNC(=O)c2ccccc2-c2cncnc2)C[C@H](C)O1,0.3311
DR_100,Cc1cc(C)cc(NC2=C(N3CCCC3)C(=O)c3ccccc3C2=O)c1,0.331
