lead_id,lead_smiles,penalized_logp
PL_001,c1ccc2c(c1)OCC[NH2+]CCOc1ccccc1OCCOCCO2,-42.757
PL_002,CCc1ccc2c(c1)OCCOCCOc1ccc(C(C)=O)cc1OCCOCCO2,-40.6307
PL_003,CC(C)(C)c1cc2c(c(C(C)(C)C)c1)OCCOCCOCCOCCO2,-30.2123
PL_004,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@]31CC[NH+](C)C2,-25.0048
PL_005,C[NH+](C)CCCNS(=O)(=O)c1cc2c3c(cccc3c1)C(=O)NC2=O,-23.0827
PL_006,CN1CCO[C@H](C[NH2+]C2CCCCCCCCCCC2)C1,-21.9972
PL_007,O=C(NCCO)c1ccc2c(c1)OCCOCCOCCO2,-21.844
PL_008,CC(=O)Nc1cc2ccc1CCc1ccc(cc1)CC2,-21.3594
PL_009,C[C@@H](O)c1cc2cccc3c2n(c1=O)CCC3,-20.9849
PL_010,Cc1ccc(C(=O)Nc2cc3c4c(c2)[C@@H]2C=CC[C@H]2CN4C[C@@H]2CC=C[C@H]32)cc1,-19.7278
PL_011,CCCn1cc2c3c(cccc31)CN(C(=O)c1cccc(C#N)c1)CC2,-18.8712
PL_012,Cc1cc2c3c(c1)CCc1cc(C)cc(c1-3)CC2,-18.7509
PL_013,CCOc1ccccc1CN(CC)Cc1cc(=O)n2c3c(cccc13)CCC2,-18.7232
PL_014,Cc1c(Br)ccc(Nc2ccc3c4c(cccc24)C(=O)N(CCO)C3=O)c1C,-18.6106
PL_015,CC(=O)Nc1ccc(Nc2c3c4c(cccc4n(C)c2=O)C(=O)c2ccccc2-3)cc1,-18.5589
PL_016,O=C([O-])CCCNS(=O)(=O)c1ccc2c3c(cccc13)C(=O)N2,-18.5541
PL_017,C[C@@H]1CN(S(=O)(=O)c2cc3c4c(c2)CC(=O)N4CCC3)C[C@@H](C)O1,-18.4513
PL_018,O=C(NCC[C@H](O)c1ccco1)C(=O)Nc1cc2c3c(c1)CC(=O)N3CCC2,-18.2826
PL_019,COc1nn(C)cc1C(=O)Nc1cc2c3c(c1)CC(=O)N3CCC2,-17.4698
PL_020,CN1Cc2c(O)c(-c3cccnc3)cc3c2c(c(CN2CCOCC2)n3C)C1=O,-17.3212
PL_021,c1ccc(Oc2ccc3c(c2)c2c4n3CC[NH2+][C@@H]4CCC2)cc1,-17.2774
PL_022,CCc1[nH]c(CN2CCC[C@H](C(=O)c3ccc4c5c(cccc35)CC4)C2)c(C)[nH+]1,-17.0562
PL_023,COc1ccc2c3c1C(=O)C(=O)N3C(C)(C)C=C2C,-16.9738
PL_024,COc1ccc(CNS(=O)(=O)c2cc3c4c(c2)[C@@H](C)C(=O)N4CCC3)cc1,-16.9684
PL_025,CC(C)OCCCNC(=O)c1cn2c3c(cccc3c1=O)C[C@@H]2C,-16.9588
PL_026,CCC[C@@H](C)NC(=O)c1cn2c3c(cc(Br)cc3c1=O)CC2,-16.6376
PL_027,O=C(c1ccc2c3c(cccc13)CC2)[C@H]1CCCN(C(=O)CCCn2cncn2)C1,-16.6065
PL_028,CN(Cc1ccccc1)S(=O)(=O)c1cc2c3c(c1)CC(=O)N3CCC2,-16.5596
PL_029,O=C(NCCN1CCOCC1)Nc1ccc2c3c(cccc13)CC2,-16.3378
PL_030,CC(C)S(=O)(=O)CC(=O)Nc1ccc2c3c(cccc13)CC2,-16.322
