ID,Molecule,Atom-mapped SMILES
5360696,Dextromethorphan,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:20]([cH:21]1)[O:19][C@@H:18]1[C@H:7]2[CH2:8][CH2:9][C@:10]23[CH2:11][CH2:12][N:13]([CH3:14])[CH2:15][C@:16]2([CH2:17]1)[CH2:22]3
5284371,Codeine,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:21]([cH:22]1)[O:20][C@@H:19]1[C@@H:7]2[CH2:8][CH2:9][C@:10]23[CH2:11][CH2:12][N:13]([CH3:14])[CH2:15][C@:16]2([CH:17]=[CH:18]1)[CH2:23]3
3033,Diclofenac,[O:1]=[C:2]([OH:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[NH:11][c:12]1[c:13]([Cl:14])[cH:15][cH:16][cH:17][c:18]1[Cl:19]
4192,Midazolam,[CH3:1][c:2]1[n:3][cH:4][c:5]2[n:6]1-[c:7]1[cH:8][cH:9][c:10]([Cl:11])[cH:12][c:13]1[C:14]([c:15]1[cH:16][cH:17][cH:18][cH:19][c:20]1[F:21])=[N:22][CH2:23]2
3676,Lidocaine,[CH3:1][CH2:2][N:3]([CH2:4][CH3:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[cH:11][cH:12][cH:13][c:14]1[N:15]([CH3:16])[CH3:17]
4754,Phenacetin,[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([NH:8][C:9]([CH3:10])=[O:11])[cH:12][cH:13]1
323,Coumarin,[O:1]=[c:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][cH:8][cH:9][c:10]2[o:11]1
107921,(S)-Mephenytoin,[CH3:1][C@H:2]1[N:3]([C:4](=[O:5])[NH:6][C:7]([c:8]2[cH:9][cH:10][c:11]([OH:14])[cH:12][cH:13]2)([CH3:15])[CH3:16])[C:17](=[O:18])[CH:19]=[CH:20]1
5505,Tolbutamide,[CH3:1][CH2:2][CH2:3][CH2:4][NH:5][C:6](=[O:7])[NH:8][S:9](=[O:10])(=[O:11])[c:12]1[cH:13][cH:14][c:15]([CH3:16])[cH:17][cH:18]1
10992053,Omeprazole,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[nH:7][c:8]([S@@:9](=[O:10])[CH2:11][c:12]3[n:13][cH:14][c:15]([CH3:16])[c:17]([O:18][CH3:19])[cH:20]3)[cH:21][n+:22]2[cH:23]1
