Compound No.,PubChem ID,ChEMBL ID,smiles
1,2406,"CHEMBL290106, CHEMBL1447476",C1=C(C=C(C(=C1SC2=C(C(=CC(=C2)Cl)Cl)O)O)Cl)Cl
2,3194,CHEMBL51085,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2
3,5289419,"CHEMBL258805, CHEMBL2002649",COC1=CC2=C(C=C1)NC(=O)C2=CC3=CN=CN3
4,19910,"CHEMBL1454910, CHEMBL3251404",C1=CC2=C(C=CC(=C2N=C1)O)[N+](=O)[O-]
5,2724385,CHEMBL1751,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
6,935415,CHEMBL1336959,CC1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3S2
7,164981,CHEMBL45152,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3S2
8,4089709,CHEMBL1333250,C1=CC=C2C(=C1)C(=O)N(S2)C3=CC(=CC=C3)S(=O)(=O)NC4=CC=CC=C4C(=O)O
9,72512,CHEMBL19954,CC1=C2C=CN=CC2=C(C3=C1NC4=C3C=C(C=C4)OC)C
10,1318,"CHEMBL415879, CHEMBL1255788, CHEMBL1522486, CHEMBL1969792, CHEMBL3183967",C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1
11,23205,CHEMBL338474,CC1CC2C(C(C3(C1C=CC3=O)C)O)C(=C)C(=O)O2
12,930984,CHEMBL567622,C1=CC=C(C=C1)C2=CC(=CC=C2)N3C(=O)C=CC3=O
13,909915,CHEMBL1419822,CN1C2=C(C(=O)NC1=O)N(C(=N2)[N+](=O)[O-])CC3=CC=CC=C3
14,796420,CHEMBL504791,C1=CSC(=C1)C2=CC=C(S2)C=NC3=CC=C(C=C3)O
15,160115,CHEMBL463175,CC1CC(=O)C2=C(O1)C=C3C(=C2O)C(=CC(=C3C4=C(C=C(C5=C(C6=C(C=C54)OC(CC6=O)C)O)O)O)O)O
16,890649,CHEMBL1602759,C1=CC=C(C=C1)C2=NN=C(O2)SC3=CS(=O)(=O)C4=CC=CC=C43
17,1510379,CHEMBL1310318,CC1=CC=CC=C1N2C(=O)C3=C(S2)C=C(C=C3)F
18,6197,CHEMBL123292,CC1CC(C(=O)C(C1)C(CC2CC(=O)NC(=O)C2)O)C
19,917183,CHEMBL1522007,CC1=CC=C(C=C1)C(=O)SC2=CC=CC=CC2=O
20,976141,,C1=CC(=O)C(=C2C1=CC3=C(O2)NC4=C3C=C(C=C4)Br)O
