Lead_ID,SMILES,Internal_Rank,source_chembl_id
LEAD_001,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,1,CHEMBL68920
LEAD_002,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,2,CHEMBL69960
LEAD_003,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,3,CHEMBL137635
LEAD_004,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,4,CHEMBL306988
LEAD_005,O=C(O)/C=C/c1ccc(O)cc1,5,CHEMBL66879
LEAD_006,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],6,CHEMBL77085
LEAD_007,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,7,CHEMBL443268
LEAD_008,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,8,CHEMBL76979
LEAD_009,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,9,CHEMBL76589
LEAD_010,COc1cc(C=C(C#N)C#N)cc(OC)c1,10,CHEMBL77724
LEAD_011,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,11,CHEMBL420385
LEAD_012,N#CC(C#N)=Cc1ccc(O)c(O)c1,12,CHEMBL76904
LEAD_013,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,13,CHEMBL1009
LEAD_014,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,14,CHEMBL304271
LEAD_015,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,15,CHEMBL296407
LEAD_016,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,16,CHEMBL309625
LEAD_017,COc1ccc(NN=C(C#N)C#N)cc1,17,CHEMBL77825
LEAD_018,COc1cc(C=C(C#N)C#N)cc(OC)c1O,18,CHEMBL421877
LEAD_019,Cc1ccc(/C=C(\C#N)C(=O)O)cc1,19,CHEMBL77278
LEAD_020,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,20,CHEMBL310798
LEAD_021,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,21,CHEMBL135592
LEAD_022,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,22,CHEMBL309866
LEAD_023,N#C/C(=C/c1ccc[nH]1)C(=O)O,23,CHEMBL77381
LEAD_024,N#C/C(=C\c1ccc(O)cc1)C(=O)O,24,CHEMBL76602
LEAD_025,N#CC(C#N)=Cc1ccncc1,25,CHEMBL77737
LEAD_026,N#CC(C#N)=Cc1ccc(F)cc1,26,CHEMBL76983
LEAD_027,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,27,CHEMBL308134
LEAD_028,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,28,CHEMBL136491
LEAD_029,CC(=C(C#N)C#N)c1ccc(N)cc1,29,CHEMBL77280
LEAD_030,O=[N+]([O-])c1ccc(O)c(O)c1,30,CHEMBL42423
LEAD_031,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,31,CHEMBL76557
LEAD_032,Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,32,CHEMBL336113
LEAD_033,C/N=N/Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,33,CHEMBL133024
LEAD_034,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,34,CHEMBL344652
LEAD_035,N#CC(C#N)=CNc1ccc(O)cc1,35,CHEMBL77814
LEAD_036,O=CN/C=C/c1cc(O)ccc1O,36,CHEMBL47986
LEAD_037,O=C(O)c1ccc(O)cc1,37,CHEMBL441343
LEAD_038,Brc1cccc(Nc2ncnc3ccc(N/N=N/Cc4ccccn4)cc23)c1,38,CHEMBL138125
LEAD_039,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,39,CHEMBL137364
LEAD_040,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,40,CHEMBL308339
LEAD_041,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,41,CHEMBL78174
LEAD_042,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,42,CHEMBL302552
LEAD_043,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,43,CHEMBL309598
LEAD_044,COc1ccc(C=C(C#N)C#N)cc1O,44,CHEMBL78302
LEAD_045,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,45,CHEMBL67057
LEAD_046,Nc1ccc2ncnc(NCc3ccccc3)c2c1,46,CHEMBL332096
LEAD_047,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,47,CHEMBL77387
LEAD_048,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)c1C,48,CHEMBL432903
LEAD_049,Cc1cc(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]c1C(=O)N1CCN(C)CC1,49,CHEMBL69964
LEAD_050,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,50,CHEMBL65848
