SMILES,Name,R_group,pIC50
Fc1ccccc1,analog_F,F,6.1
Clc1ccccc1,analog_Cl,Cl,6.5
Brc1ccccc1,analog_Br,Br,6.3
Oc1ccccc1,analog_OH,OH,5.2
COc1ccccc1,analog_OCH3,OCH3,5.8
Cc1ccccc1,analog_CH3,CH3,5.5
FC(F)(F)c1ccccc1,analog_CF3,CF3,7.8
O=[N+]([O-])c1ccccc1,analog_NO2,NO2,5.0
Nc1ccccc1,analog_NH2,NH2,4.9
N#Cc1ccccc1,analog_CN,CN,6.0
CCc1ccccc1,analog_C2H5,C2H5,5.7
CC(=O)c1ccccc1,analog_COCH3,COCH3,5.3
O=C(O)c1ccccc1,analog_COOH,COOH,4.5
O=Cc1ccccc1,analog_CHO,CHO,5.1
CSc1ccccc1,analog_SCH3,SCH3,5.9
Sc1ccccc1,analog_SH,SH,5.4
Ic1ccccc1,analog_I,I,6.2
CNc1ccccc1,analog_NHCH3,NHCH3,5.6
CN(C)c1ccccc1,analog_NCH3_2,NCH3_2,5.3
FC(F)Oc1ccccc1,analog_OCHF2,OCHF2,6.4
