Compound_ChEMBL_ID,IC50_nM,Assay_ChEMBL_ID
CHEMBL332612,500.0,CHEMBL621022
CHEMBL118904,100000.0,CHEMBL621022
CHEMBL332333,12000.0,CHEMBL621022
CHEMBL332882,800.0,CHEMBL621022
CHEMBL120979,800.0,CHEMBL621022
CHEMBL122245,20.0,CHEMBL621022
CHEMBL332765,1500.0,CHEMBL621022
CHEMBL121796,3.0,CHEMBL621022
CHEMBL121190,35000.0,CHEMBL621022
CHEMBL331906,1500.0,CHEMBL621022
CHEMBL332906,800.0,CHEMBL621022
CHEMBL122068,9000.0,CHEMBL621022
CHEMBL333231,1500.0,CHEMBL621022
CHEMBL332971,1500.0,CHEMBL621022
CHEMBL120703,100000.0,CHEMBL621022
CHEMBL123189,200.0,CHEMBL621022
CHEMBL420885,1500.0,CHEMBL621022
CHEMBL334026,100000.0,CHEMBL621022
CHEMBL333038,250.0,CHEMBL621022
CHEMBL119982,1500.0,CHEMBL621022
