Compound_ChEMBL_ID,IC50_nM,Assay_ChEMBL_ID
CHEMBL165731,20.0,CHEMBL621853
CHEMBL53711,21.0,CHEMBL621853
CHEMBL166255,27.0,CHEMBL621853
CHEMBL165630,71.0,CHEMBL621853
CHEMBL163369,230.0,CHEMBL621853
CHEMBL53753,13.0,CHEMBL621853
CHEMBL166307,8.9,CHEMBL621853
CHEMBL162223,8.1,CHEMBL621853
CHEMBL162719,102.0,CHEMBL621853
CHEMBL162821,23.0,CHEMBL621853
CHEMBL162053,46.0,CHEMBL621853
CHEMBL165574,5.9,CHEMBL621853
CHEMBL349070,19.0,CHEMBL621853
CHEMBL162142,6.3,CHEMBL621853
CHEMBL165508,13.0,CHEMBL621853
CHEMBL433520,28.0,CHEMBL621853
CHEMBL163168,449.0,CHEMBL621853
CHEMBL166358,16.0,CHEMBL621853
CHEMBL162981,9.1,CHEMBL621853
CHEMBL51853,16.0,CHEMBL621853
