Compound_ID,pIC50,Replicate
CPD_000,6.779,1
CPD_000,7.459,2
CPD_000,7.283,3
CPD_000,7.24,4
CPD_001,7.047,1
CPD_001,6.935,2
CPD_001,6.889,3
CPD_001,7.544,4
CPD_002,7.454,1
CPD_002,6.558,2
CPD_002,6.608,3
CPD_003,6.715,1
CPD_003,7.397,2
CPD_004,6.758,1
CPD_004,7.021,2
CPD_004,6.811,3
CPD_004,6.43,4
CPD_005,6.765,1
CPD_005,6.717,2
CPD_005,7.344,3
CPD_006,6.62,1
CPD_006,6.527,2
CPD_006,6.726,3
CPD_006,6.655,4
CPD_007,7.172,1
CPD_007,7.163,2
CPD_008,6.852,1
CPD_008,6.858,2
CPD_008,7.198,3
CPD_008,7.271,4
CPD_009,7.658,1
CPD_009,6.96,2
CPD_010,6.942,1
CPD_010,6.372,2
CPD_011,6.916,1
CPD_011,6.452,2
CPD_011,6.954,3
CPD_011,7.051,4
CPD_012,6.912,1
CPD_012,7.445,2
CPD_013,7.244,1
CPD_013,7.621,2
CPD_013,6.562,3
CPD_014,6.638,1
CPD_014,7.18,2
CPD_014,7.068,3
CPD_015,7.573,1
CPD_015,6.988,2
CPD_015,7.49,3
CPD_016,7.322,1
CPD_016,6.559,2
CPD_017,6.986,1
CPD_017,6.718,2
CPD_017,7.188,3
CPD_017,7.044,4
CPD_018,6.552,1
CPD_018,6.579,2
CPD_018,6.973,3
CPD_019,7.33,1
CPD_019,7.582,2
CPD_020,7.233,1
CPD_020,6.715,2
CPD_020,6.959,3
CPD_020,6.654,4
CPD_021,6.771,1
CPD_021,6.581,2
CPD_021,7.084,3
CPD_022,7.175,1
CPD_022,6.93,2
CPD_022,6.903,3
CPD_023,7.574,1
CPD_023,7.491,2
CPD_024,7.327,1
CPD_024,6.743,2
CPD_024,7.448,3
CPD_024,7.192,4
CPD_025,7.248,1
CPD_025,6.715,2
CPD_026,7.004,1
CPD_026,6.307,2
CPD_026,6.732,3
CPD_026,7.042,4
CPD_027,6.919,1
CPD_027,7.252,2
CPD_027,6.766,3
CPD_027,6.676,4
CPD_028,7.513,1
CPD_028,7.138,2
CPD_028,7.04,3
CPD_029,7.026,1
CPD_029,6.803,2
