Compound_ChEMBL_ID,Target_Symbol,Internal_IC50_uM
CHEMBL68920,EGFR,0.041
CHEMBL69960,EGFR,0.17
CHEMBL137635,EGFR,9.3
CHEMBL306988,EGFR,500.0
CHEMBL66879,EGFR,3000.0
CHEMBL77085,EGFR,9600.0
CHEMBL443268,EGFR,5.31
CHEMBL76979,EGFR,264.0
CHEMBL76589,EGFR,0.125
CHEMBL77724,EGFR,1250.0
CHEMBL420385,EGFR,62500.0
CHEMBL76904,EGFR,35.0
CHEMBL1009,EGFR,900.0
CHEMBL304271,EGFR,0.0004
CHEMBL296407,EGFR,10.0
CHEMBL309625,EGFR,6000.0
CHEMBL77825,EGFR,600.0
CHEMBL421877,EGFR,850.0
CHEMBL77278,EGFR,1350.0
CHEMBL310798,EGFR,3.0
CHEMBL135592,EGFR,800.0
CHEMBL309866,EGFR,1300.0
CHEMBL77381,EGFR,1360.0
CHEMBL76602,EGFR,165.0
CHEMBL77737,EGFR,250.0
