ID,SMILES,MW,LogP,pIC50
DIRTY_000,CCO,46.04,-0.0,5.5
DIRTY_001,c1ccccc1,78.05,1.69,7.8
DIRTY_002,CC(=O)O,60.02,0.09,6.93
DIRTY_003,CCCO,60.06,,6.39
DIRTY_004,CCCCO,74.07,0.78,4.62
DIRTY_005,c1ccncc1,79.04,1.08,4.62
DIRTY_006,c1ccoc1,68.03,1.28,4.23
DIRTY_007,c1ccsc1,-10.5,1.75,7.46
DIRTY_008,CC(C)O,60.06,0.39,6.4
DIRTY_009,CCCC,58.08,1.81,6.83
DIRTY_010,Oc1ccccc1,94.04,1.39,4.08
DIRTY_011,Nc1ccccc1,93.06,,7.88
DIRTY_012,Fc1ccccc1,96.04,1.83,7.33
DIRTY_013,Clc1ccccc1,112.01,2.34,4.85
DIRTY_014,Brc1ccccc1,155.96,2.45,4.73
DIRTY_015,CCOC(C)=O,88.05,0.57,4.73
DIRTY_016,O=C(O)c1ccccc1,122.04,1.38,5.22
DIRTY_017,Nc1ccccc1,93.06,,6.1
DIRTY_018,CCC(=O)O,74.04,0.48,5.73
DIRTY_019,CCCC(=O)O,88.05,0.87,5.16
DIRTY_020,c1ccc(-c2ccccc2)cc1,154.08,3.35,6.45
DIRTY_021,c1ccc2ccccc2c1,128.06,2.84,4.56
DIRTY_022,CCC(C)C,72.09,2.05,5.17
DIRTY_023,CCCCC,72.09,,5.47
DIRTY_024,CCCCCC,86.11,2.59,5.82
DIRTY_025,CCN,45.06,-0.03,7.14
DIRTY_026,CCCN,59.07,0.36,4.8
DIRTY_027,CCCCN,73.09,0.75,6.06
DIRTY_028,CC(C)c1ccccc1,120.09,2.81,6.37
DIRTY_029,c1ccc2ncccc2c1,0.0,2.23,4.19
DIRTY_030,CCC(=O)O,74.04,0.48,6.43
DIRTY_031,Oc1ccccc1,94.04,,4.68
DIRTY_032,COc1ccccc1,108.06,1.7,4.26
DIRTY_033,CC(C)(C)O,74.07,0.78,7.8
DIRTY_034,CCCCCCC,100.13,2.98,7.86
DIRTY_035,CCCCCCCC,114.14,3.37,7.23
DIRTY_036,CC(N)=O,59.04,-0.51,5.22
DIRTY_037,CCOC,60.06,0.65,4.39
DIRTY_038,CCC(C)C,72.09,N/A,6.74
DIRTY_039,Cc1cccnc1,93.06,1.39,5.76
DIRTY_040,CC(=O)c1ccccc1,120.06,1.89,4.49
DIRTY_041,CCCC(=O)O,88.05,0.87,5.98
DIRTY_042,CCCCC(=O)O,102.07,1.26,4.14
DIRTY_043,CCc1ccccc1,106.08,2.25,7.64
DIRTY_044,CCO,46.04,error,5.04
DIRTY_045,c1ccccc1,78.05,1.69,6.65
DIRTY_046,CC(=O)O,60.02,0.09,5.25
DIRTY_047,CCCO,60.06,0.39,6.08
DIRTY_048,CCCCO,74.07,0.78,6.19
DIRTY_049,c1ccncc1,79.04,1.08,4.74
