SMILES,Name,Cluster
CC(=O)Oc1ccccc1C(=O)O,MOL_000,NSAIDs
CC(C)Cc1ccc(C(C)C(=O)O)cc1,MOL_001,NSAIDs
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,MOL_002,NSAIDs
Cc1ccc(C(=O)c2ccccc2)cc1,MOL_003,NSAIDs
O=C(O)c1ccccc1O,MOL_004,NSAIDs
CC(C)Cc1ccc(C(C)C(=O)O)cc1,MOL_005,NSAIDs
CC(=O)c1ccc(O)cc1,MOL_006,NSAIDs
O=C(O)c1cccc(O)c1,MOL_007,NSAIDs
CC(C(=O)O)c1cccc(-c2ccccc2)c1,MOL_008,NSAIDs
Cc1ccc(S(N)(=O)=O)cc1,MOL_009,NSAIDs
CC(=O)Nc1ccc(O)cc1,MOL_010,NSAIDs
O=C(O)Cc1ccccc1,MOL_011,NSAIDs
CC(C(=O)O)c1ccc2ccccc2c1,MOL_012,NSAIDs
O=c1ccc2c(O)cc(O)cc2o1,MOL_013,NSAIDs
CC(=O)c1ccccc1O,MOL_014,NSAIDs
O=C(O)c1ccc(O)cc1O,MOL_015,NSAIDs
O=C(O)Cc1ccccc1,MOL_016,NSAIDs
CC(=O)Nc1ccccc1C(=O)O,MOL_017,NSAIDs
O=C(O)Cc1ccc(O)cc1,MOL_018,NSAIDs
CC1=CC(=O)c2ccccc2C1=O,MOL_019,NSAIDs
O=C(O)c1cccc(O)c1,MOL_020,NSAIDs
CC(C(=O)O)c1ccccc1,MOL_021,NSAIDs
O=C(O)CCc1ccccc1,MOL_022,NSAIDs
Cc1ccc(O)c(C)c1,MOL_023,NSAIDs
O=C(O)c1ccc2ccccc2c1,MOL_024,NSAIDs
Cc1cc(C)c(O)c(C)c1,MOL_025,NSAIDs
O=C(O)c1ccncc1,MOL_026,NSAIDs
O=C(O)c1cccnc1,MOL_027,NSAIDs
CC(=O)c1cccc(O)c1,MOL_028,NSAIDs
O=C(O)c1cccc(Cl)c1,MOL_029,NSAIDs
O=C(O)c1ccc(Br)cc1,MOL_030,NSAIDs
O=C(O)c1ccc(F)cc1,MOL_031,NSAIDs
Cc1ccc(C(=O)O)cc1,MOL_032,NSAIDs
O=C(O)c1ccccc1Cl,MOL_033,NSAIDs
O=C(O)c1ccc(O)c(O)c1,MOL_034,NSAIDs
CC(O)c1ccccc1,MOL_035,NSAIDs
Nc1cccc(C(=O)O)c1,MOL_036,NSAIDs
O=C(O)CCCc1ccccc1,MOL_037,NSAIDs
CC(=O)c1ccc(N)cc1,MOL_038,NSAIDs
COc1ccc(C(=O)O)cc1,MOL_039,NSAIDs
O=C1CN2CC=CC=C2C(c2ccc(Cl)cc2Cl)=N1,MOL_040,Benzodiazepines
O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,MOL_041,Benzodiazepines
O=C1CN=C(c2ccccc2F)c2ccccc2N1,MOL_042,Benzodiazepines
O=C1CN=C(c2ccccc2)c2cc(Br)ccc2N1,MOL_043,Benzodiazepines
O=C1CN=C(c2ccc(F)cc2)c2ccccc2N1,MOL_044,Benzodiazepines
O=C1CN=C(c2ccc(Cl)cc2)c2ccccc2N1,MOL_045,Benzodiazepines
O=C1CN=C(c2ccccc2)c2ccc(F)cc2N1,MOL_046,Benzodiazepines
O=C1CN=C(c2cccc(Cl)c2)c2ccccc2N1,MOL_047,Benzodiazepines
Cc1ccc(C2=NCC(=O)Nc3ccccc32)cc1,MOL_048,Benzodiazepines
O=C1CN=C(c2ccccc2)c2cc(F)ccc2N1,MOL_049,Benzodiazepines
O=C1CN=C(c2ccccc2Cl)c2ccccc2N1,MOL_050,Benzodiazepines
O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1,MOL_051,Benzodiazepines
O=C1CN=C(c2ccc(Br)cc2)c2ccc(F)cc2N1,MOL_052,Benzodiazepines
COc1ccc(C2=NCC(=O)Nc3ccccc32)cc1,MOL_053,Benzodiazepines
O=C1CN=C(c2cccc(F)c2)c2cc(Cl)ccc2N1,MOL_054,Benzodiazepines
Nc1ccc(C2=NCC(=O)Nc3ccccc32)cc1,MOL_055,Benzodiazepines
O=C1CN=C(c2ccccn2)c2ccccc2N1,MOL_056,Benzodiazepines
O=C1CN=C(c2ccc(O)cc2)c2ccccc2N1,MOL_057,Benzodiazepines
Cc1cccc(C2=NCC(=O)Nc3ccccc32)c1,MOL_058,Benzodiazepines
Cc1cccc2c1NC(=O)CN=C2c1ccccc1,MOL_059,Benzodiazepines
O=C1CN=C(c2ccc(C(F)(F)F)cc2)c2ccccc2N1,MOL_060,Benzodiazepines
O=C1CN=C(c2ccco2)c2ccccc2N1,MOL_061,Benzodiazepines
O=C1CN=C(c2cccs2)c2ccccc2N1,MOL_062,Benzodiazepines
O=C1CN=C(c2ccncc2)c2ccccc2N1,MOL_063,Benzodiazepines
CS(=O)(=O)c1ccc(C2=NCC(=O)Nc3ccccc32)cc1,MOL_064,Benzodiazepines
Cc1cc(C)c2c(c1)C(c1ccccc1)=NCC(=O)N2,MOL_065,Benzodiazepines
COc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,MOL_066,Benzodiazepines
