Plate_ID,Well,Compound_ID,pIC50
001,A01,CPD_0000,5.527
001,B01,CPD_0001,5.564
001,C01,CPD_0002,5.498
001,D01,CPD_0003,5.742
001,E01,CPD_0004,5.625
001,F01,CPD_0005,5.649
001,G01,CPD_0006,5.567
001,H01,CPD_0007,5.874
001,A02,CPD_0008,5.549
002,A01,CPD_0009,7.747
002,B01,CPD_0010,7.344
002,C01,CPD_0011,7.699
002,D01,CPD_0012,7.738
002,E01,CPD_0013,7.436
002,F01,CPD_0014,7.495
002,G01,CPD_0015,7.575
002,H01,CPD_0016,7.545
002,A02,CPD_0017,7.836
003,A01,CPD_0018,7.864
003,B01,CPD_0019,8.247
003,C01,CPD_0020,8.054
003,D01,CPD_0021,7.973
003,E01,CPD_0022,7.914
003,F01,CPD_0023,7.862
003,G01,CPD_0024,7.769
003,H01,CPD_0025,8.142
004,A01,CPD_0026,7.441
004,B01,CPD_0027,7.478
004,C01,CPD_0028,7.438
004,D01,CPD_0029,7.601
004,E01,CPD_0030,7.374
004,F01,CPD_0031,7.322
004,G01,CPD_0032,7.617
004,H01,CPD_0033,7.55
004,A02,CPD_0034,7.42
005,A01,CPD_0035,6.503
005,B01,CPD_0036,6.433
005,C01,CPD_0037,6.031
005,D01,CPD_0038,6.308
005,E01,CPD_0039,6.204
005,F01,CPD_0040,6.437
005,G01,CPD_0041,6.265
005,H01,CPD_0042,6.268
005,A02,CPD_0043,6.337
006,A01,CPD_0044,7.997
006,B01,CPD_0045,7.717
006,C01,CPD_0046,8.261
006,D01,CPD_0047,7.897
006,E01,CPD_0048,7.737
006,F01,CPD_0049,7.804
006,G01,CPD_0050,7.963
006,H01,CPD_0051,7.804
006,A02,CPD_0052,7.794
007,A01,CPD_0053,6.37
007,B01,CPD_0054,6.887
007,C01,CPD_0055,6.54
007,D01,CPD_0056,6.25
007,E01,CPD_0057,6.628
007,F01,CPD_0058,6.997
007,G01,CPD_0059,6.548
008,A01,CPD_0060,6.889
008,B01,CPD_0061,6.774
008,C01,CPD_0062,6.905
008,D01,CPD_0063,6.799
008,E01,CPD_0064,6.801
008,F01,CPD_0065,7.038
008,G01,CPD_0066,6.763
008,H01,CPD_0067,6.994
008,A02,CPD_0068,6.844
009,A01,CPD_0069,6.294
009,B01,CPD_0070,6.377
009,C01,CPD_0071,6.202
009,D01,CPD_0072,6.464
009,E01,CPD_0073,6.117
009,F01,CPD_0074,6.633
009,G01,CPD_0075,6.305
009,H01,CPD_0076,6.256
010,A01,CPD_0077,6.33
010,B01,CPD_0078,6.175
010,C01,CPD_0079,6.382
010,D01,CPD_0080,6.13
010,E01,CPD_0081,6.14
010,F01,CPD_0082,6.433
010,G01,CPD_0083,6.327
010,H01,CPD_0084,6.372
010,A02,CPD_0085,6.222
011,A01,CPD_0086,7.766
011,B01,CPD_0087,7.817
011,C01,CPD_0088,7.831
011,D01,CPD_0089,7.982
011,E01,CPD_0090,7.776
011,F01,CPD_0091,7.814
011,G01,CPD_0092,7.99
012,A01,CPD_0093,5.589
012,B01,CPD_0094,5.55
012,C01,CPD_0095,5.557
012,D01,CPD_0096,5.307
012,E01,CPD_0097,5.654
012,F01,CPD_0098,5.491
012,G01,CPD_0099,5.613
012,H01,CPD_0100,5.491
012,A02,CPD_0101,5.757
8,A01,CPD_0102,7.703
8,B01,CPD_0103,7.719
8,C01,CPD_0104,8.055
8,D01,CPD_0105,7.871
8,E01,CPD_0106,7.733
8,F01,CPD_0107,7.705
