Internal_ID,SMILES,pIC50_internal
INT_001,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,7.387
INT_002,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c21,6.77
INT_003,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,5.032
INT_004,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,3.301
INT_005,O=C(O)/C=C/c1ccc(O)cc1,2.523
INT_006,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],4.018
INT_007,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,5.275
INT_008,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,3.578
INT_009,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,6.903
INT_010,COc1cc(C=C(C#N)C#N)cc(OC)c1,2.903
INT_011,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,3.204
INT_012,N#CC(C#N)=Cc1ccc(O)c(O)c1,4.456
INT_013,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,3.046
INT_014,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,9.347
INT_015,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,5.0
INT_016,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,4.222
INT_017,COc1ccc(NN=C(C#N)C#N)cc1,3.222
INT_018,COc1cc(C=C(C#N)C#N)cc(OC)c1O,3.071
INT_019,Cc1ccc(/C=C(\C#N)C(=O)O)cc1,2.87
INT_020,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,5.523
