Compound_ID,pIC50,Replicate
CPD-001,7.459,1
CPD-001,7.502,2
CPD-002,7.9,1
CPD-002,7.899,2
CPD-003,8.914,1
CPD-003,8.762,2
CPD-004,5.146,1
CPD-004,5.035,2
CPD-004,4.949,3
CPD-005,7.136,1
CPD-005,7.208,2
CPD-006,5.72,1
CPD-006,5.518,2
CPD-006,5.628,3
CPD-007,7.434,1
CPD-007,7.426,2
CPD-007,7.777,3
CPD-008,7.912,1
CPD-008,7.769,2
CPD-009,5.037,1
CPD-009,5.327,2
CPD-010,8.457,1
CPD-010,8.55,2
CPD-010,8.735,3
CPD-011,7.784,1
CPD-011,7.809,2
CPD-011,8.008,3
CPD-012,6.041,1
CPD-012,6.008,2
CPD-013,5.22,1
CPD-013,5.4,2
CPD-014,8.96,1
CPD-014,9.019,2
CPD-014,8.93,3
CPD-015,9.059,1
CPD-015,8.902,2
CPD-015,8.744,3
CPD-016,5.144,1
CPD-016,5.177,2
CPD-017,5.34,1
CPD-017,5.484,2
CPD-017,5.475,3
CPD-018,7.134,1
CPD-018,7.137,2
CPD-019,8.613,1
CPD-019,8.554,2
CPD-020,8.776,1
CPD-020,8.886,2
CPD-021,6.668,1
CPD-021,6.682,2
CPD-022,4.973,1
CPD-022,5.019,2
CPD-023,7.989,1
CPD-023,8.055,2
CPD-023,7.895,3
CPD-024,7.709,1
CPD-024,7.707,2
CPD-024,7.617,3
CPD-025,8.257,1
CPD-025,8.076,2
CPD-025,8.221,3
CPD-026,6.743,1
CPD-026,6.876,2
CPD-027,6.936,1
CPD-027,6.951,2
CPD-027,6.829,3
CPD-028,6.297,1
CPD-028,6.369,2
CPD-029,5.331,1
CPD-029,5.284,2
CPD-030,6.277,1
CPD-030,6.44,2
CPD-030,6.405,3
CPD-031,6.126,1
CPD-031,6.16,2
CPD-031,6.138,3
CPD-032,6.454,1
CPD-032,6.706,2
CPD-032,6.469,3
CPD-033,5.967,1
CPD-033,5.91,2
CPD-034,6.662,1
CPD-034,6.427,2
CPD-034,6.816,3
CPD-035,5.429,1
CPD-035,5.084,2
CPD-035,5.186,3
CPD-036,7.508,1
CPD-036,7.486,2
CPD-036,7.247,3
CPD-037,8.426,1
CPD-037,8.553,2
CPD-037,8.419,3
CPD-038,5.633,1
CPD-038,5.915,2
CPD-038,5.726,3
CPD-039,7.794,1
CPD-039,7.557,2
CPD-039,7.755,3
CPD-040,8.032,1
CPD-040,7.992,2
