Compound_ID,SMILES,MW,LogP
cpd_001,Fc1ccc(C(=O)N)cc1,139.13,0.92
 CPD_002,Clc1ccc(C(=O)N)cc1,155.58,1.44
CPD_003,Cc1ccc(C(=O)N)cc1,135.17,1.09
CPD_004,FC(F)(F)c1ccc(C(=O)N)cc1,189.14,1.8
CPD_005,Oc1ccc(C(=O)N)cc1,137.14,0.49
cpd_006,COc1ccc(C(=O)N)cc1,151.17,0.79
 CPD_007,Nc1ccc(C(=O)N)cc1,136.15,0.37
CPD_008,N#Cc1ccc(C(=O)N)cc1,146.15,0.66
CPD_009,Brc1ccc(C(=O)N)cc1,200.03,1.55
CPD_010,O=Nc1ccc(C(=O)N)cc1,150.14,1.18
cpd_011,OC(=O)c1ccc(C(=O)N)cc1,165.15,0.48
 CPD_012,CC(=O)c1ccc(C(=O)N)cc1,163.18,0.99
CPD_013,c1ccc(-c2ccc(C(=O)N)cc2)cc1,197.24,2.45
CPD_014,O(c1ccccc1)c1ccc(C(=O)N)cc1,213.24,2.58
CPD_015,c1ccnc(c1)-c1ccc(C(=O)N)cc1,198.22,1.85
cpd_016,N1CCCCC1c1ccc(C(=O)N)cc1,204.27,1.6
 CPD_017,CCc1ccc(C(=O)N)cc1,149.19,1.35
CPD_018,CC(C)c1ccc(C(=O)N)cc1,163.22,1.91
CPD_019,CC(C)(C)c1ccc(C(=O)N)cc1,177.25,2.08
CPD_020,C1CCCCC1c1ccc(C(=O)N)cc1,203.28,2.83
