SMILES,pIC50,date_tested
CCO,7.169,2022-04-26
c1ccccc1,7.477,2021-06-21
CC(=O)O,6.782,2022-08-04
CCCO,7.462,2021-09-09
CCCCO,7.091,2021-10-28
c1ccncc1,7.266,2022-06-15
c1ccoc1,6.894,2021-10-18
c1ccsc1,7.542,2022-04-20
CC(C)O,7.084,2021-11-19
CCCC,7.197,2021-06-28
Oc1ccccc1,7.129,2022-12-19
Nc1ccccc1,7.098,2022-12-02
Fc1ccccc1,7.25,2021-04-25
Clc1ccccc1,7.512,2021-12-01
Brc1ccccc1,6.732,2022-12-04
CCOC(C)=O,7.352,2021-03-28
O=C(O)c1ccccc1,7.273,2021-04-19
CCC(=O)O,7.124,2022-12-12
CCCC(=O)O,7.197,2021-05-10
c1ccc(-c2ccccc2)cc1,7.197,2022-06-01
c1ccc2ccccc2c1,7.604,2022-08-14
CCC(C)C,7.505,2021-10-27
CCCCC,7.316,2021-09-05
CCCCCC,7.115,2022-10-19
CCN,6.591,2021-11-24
CCCN,7.229,2021-03-07
CCCCN,6.848,2021-03-14
CC(C)c1ccccc1,7.267,2022-03-04
c1ccc2ncccc2c1,7.074,2022-11-03
COc1ccccc1,6.897,2021-07-16
CC(C)(C)O,7.501,2022-04-12
CCCCCCC,7.475,2021-05-10
CCCCCCCC,7.747,2022-03-08
CC(N)=O,6.952,2021-02-22
CCOC,6.955,2021-03-08
Cc1cccnc1,7.664,2021-09-23
CC(=O)c1ccccc1,7.719,2022-05-19
CCCCC(=O)O,7.224,2022-08-17
CCc1ccccc1,7.158,2022-12-04
Cc1ccccc1,7.064,2022-02-11
Cc1ccncc1,7.571,2021-06-11
Cc1ccoc1,7.715,2021-08-24
Cc1ccsc1,7.359,2021-01-10
Cc1ccc(O)cc1,6.932,2021-11-10
CC(C)Cc1ccccc1,7.66,2021-02-13
O=CO,6.683,2022-06-19
NCCO,6.871,2021-04-17
Fc1cccnc1,6.795,2022-02-15
Clc1cccnc1,7.608,2022-07-06
CCOc1ccccc1,7.139,2022-05-11
CC(=O)Nc1ccccc1,7.157,2022-09-09
O=C(O)c1ccncc1,6.873,2022-06-11
C1CCCCC1,7.084,2022-06-07
C1CCNCC1,7.265,2022-09-09
C1CCOCC1,6.909,2021-03-03
O=C(O)c1ccoc1,7.163,2021-06-28
COc1ccccn1,6.699,2021-02-04
CNc1ccccc1,7.406,2021-02-27
CC(C)N,6.966,2022-08-18
CCC(C)CC,6.985,2021-11-07
Cc1cccc(C)c1,8.209,2021-10-15
OCc1ccccc1,6.918,2021-01-15
O=C(O)Cc1ccccc1,7.327,2022-11-04
CCCCc1ccccc1,7.455,2022-06-10
CC(C)c1ccncc1,7.278,2021-06-07
Sc1ccccc1,6.953,2021-06-12
CCSCC,7.413,2021-04-14
CCN(CC)CC,7.569,2021-02-01
COC(C)=O,7.388,2022-07-28
CCCCCCCCCC,7.013,2021-04-04
CCO,7.117,2021-08-12
c1ccccc1,7.214,2021-02-01
CC(=O)O,6.931,2022-04-05
CCCO,6.807,2022-04-07
CCCCO,7.135,2021-08-25
c1ccncc1,6.895,2022-09-27
c1ccoc1,7.199,2022-12-16
c1ccsc1,7.514,2021-06-21
CC(C)O,7.262,2022-04-23
CCCC,7.23,2022-09-05
Oc1ccccc1,6.858,2021-05-06
Nc1ccccc1,7.138,2022-09-28
Fc1ccccc1,7.007,2022-10-22
Clc1ccccc1,6.929,2021-11-22
Brc1ccccc1,6.819,2021-11-04
CCOC(C)=O,6.894,2022-06-23
O=C(O)c1ccccc1,6.981,2021-01-14
CCC(=O)O,6.908,2022-11-27
CCCC(=O)O,7.024,2022-09-15
c1ccc(-c2ccccc2)cc1,6.945,2022-11-23
c1ccc2ccccc2c1,7.179,2022-09-09
CCC(C)C,6.972,2021-12-03
CCCCC,7.771,2021-12-21
CCCCCC,7.495,2021-12-02
CCN,6.472,2021-04-04
CCCN,7.185,2022-04-26
CCCCN,7.193,2022-11-21
CC(C)c1ccccc1,7.463,2021-03-13
c1ccc2ncccc2c1,7.753,2022-06-24
COc1ccccc1,7.105,2021-01-14
CC(C)(C)O,6.926,2022-11-15
CCCCCCC,7.559,2022-09-26
CCCCCCCC,7.988,2021-12-08
CC(N)=O,6.794,2021-01-21
CCOC,7.555,2021-01-14
Cc1cccnc1,6.876,2022-03-13
CC(=O)c1ccccc1,7.125,2021-02-03
CCCCC(=O)O,6.752,2022-09-05
CCc1ccccc1,6.995,2022-12-12
Cc1ccccc1,7.172,2021-08-19
Cc1ccncc1,7.064,2022-11-21
Cc1ccoc1,6.861,2022-02-12
Cc1ccsc1,6.99,2022-07-04
Cc1ccc(O)cc1,7.534,2022-11-08
CC(C)Cc1ccccc1,6.776,2021-04-22
O=CO,7.127,2022-10-21
NCCO,6.835,2022-10-14
Fc1cccnc1,7.084,2022-12-22
Clc1cccnc1,6.794,2021-09-25
CCOc1ccccc1,6.778,2021-03-10
CC(=O)Nc1ccccc1,6.85,2021-03-05
O=C(O)c1ccncc1,7.307,2021-04-09
C1CCCCC1,7.545,2022-09-18
C1CCNCC1,6.778,2021-10-12
C1CCOCC1,7.148,2021-02-08
O=C(O)c1ccoc1,6.729,2022-07-22
COc1ccccn1,6.989,2021-05-12
CNc1ccccc1,6.969,2022-06-02
CC(C)N,6.454,2022-11-08
CCC(C)CC,8.032,2022-02-25
Cc1cccc(C)c1,7.076,2022-05-12
OCc1ccccc1,7.073,2022-03-23
O=C(O)Cc1ccccc1,6.883,2022-07-26
CCCCc1ccccc1,7.498,2021-04-16
CC(C)c1ccncc1,7.992,2022-03-28
Sc1ccccc1,7.017,2022-12-24
CCSCC,7.582,2021-06-19
CCN(CC)CC,7.453,2022-02-17
COC(C)=O,7.223,2022-08-03
CCCCCCCCCC,7.93,2022-11-26
CCO,7.341,2022-12-25
c1ccccc1,7.375,2021-11-10
CC(=O)O,6.776,2022-10-27
CCCO,6.978,2022-02-13
CCCCO,6.891,2021-08-16
c1ccncc1,7.471,2021-11-04
c1ccoc1,7.621,2022-10-15
c1ccsc1,7.709,2022-02-12
CC(C)O,7.439,2021-12-04
CCCC,7.447,2021-03-21
Oc1ccccc1,6.365,2022-10-18
Nc1ccccc1,7.079,2021-05-02
Fc1ccccc1,6.91,2021-08-23
Clc1ccccc1,7.233,2021-05-20
Brc1ccccc1,6.985,2021-09-02
CCOC(C)=O,7.305,2022-10-28
O=C(O)c1ccccc1,7.087,2021-08-28
CCC(=O)O,7.201,2021-06-18
CCCC(=O)O,6.888,2022-03-03
c1ccc(-c2ccccc2)cc1,7.492,2022-01-04
c1ccc2ccccc2c1,7.798,2022-06-26
CCC(C)C,7.595,2021-05-08
CCCCC,7.519,2022-10-19
CCCCCC,7.634,2022-03-06
CCN,7.166,2021-06-13
CCCN,6.564,2022-08-06
CCCCN,6.809,2022-01-09
CC(C)c1ccccc1,7.479,2021-12-06
c1ccc2ncccc2c1,6.813,2021-06-16
COc1ccccc1,7.04,2021-10-03
CC(C)(C)O,7.176,2021-10-25
CCCCCCC,7.842,2022-04-23
CCCCCCCC,7.425,2021-04-17
CC(N)=O,6.751,2022-08-19
CCOC,6.889,2022-12-02
Cc1cccnc1,7.328,2021-08-10
CC(=O)c1ccccc1,6.761,2021-08-20
CCCCC(=O)O,7.162,2022-04-15
CCc1ccccc1,6.813,2022-05-20
Cc1ccccc1,7.897,2022-06-22
Cc1ccncc1,6.836,2021-10-22
Cc1ccoc1,6.649,2021-11-01
Cc1ccsc1,7.414,2022-03-24
Cc1ccc(O)cc1,7.419,2021-06-17
CC(C)Cc1ccccc1,6.991,2022-10-27
O=CO,6.873,2022-11-08
NCCO,7.103,2021-09-24
Fc1cccnc1,7.066,2021-06-07
Clc1cccnc1,7.28,2021-11-24
CCOc1ccccc1,6.893,2021-04-10
CC(=O)Nc1ccccc1,6.976,2021-07-10
O=C(O)c1ccncc1,6.581,2022-04-10
C1CCCCC1,7.751,2021-02-04
C1CCNCC1,6.789,2021-05-11
C1CCOCC1,7.846,2021-01-11
O=C(O)c1ccoc1,6.594,2021-06-03
COc1ccccn1,6.921,2021-01-27
CNc1ccccc1,7.616,2021-01-21
CC(C)N,7.554,2021-12-09
CCC(C)CC,7.787,2022-03-27
CCCCCCCCCCC,7.689,2023-03-05
CCCCCCCCCCCC,7.55,2023-10-23
CCCCCCCCCCCCC,8.193,2023-10-20
CCCCCCCCCCCCCC,8.408,2023-01-23
CCCCCCCCCCCCCCC,7.601,2023-05-01
CCCCCCCCCCCCCCCC,7.859,2023-12-21
CCCCCO,7.144,2023-03-24
CCCCCCO,7.214,2023-04-06
CCCCCCCO,7.401,2023-12-15
CCCCCCCCO,6.986,2023-11-09
CCCCCCCCCO,7.164,2023-11-15
CCCCCCCCCCO,7.303,2023-12-16
CCCCCN,7.016,2023-09-24
CCCCCCN,7.132,2023-09-28
CCCCCCCN,7.0,2023-10-05
CCCCCCCCN,7.355,2023-12-12
CCCCCCCCCN,7.341,2023-11-20
CCCC(C)CC,6.93,2023-11-07
CCCCC(C)C,7.181,2023-12-28
CCCC(CC)CC,7.096,2023-09-09
CCCCC(C)CC,7.442,2023-12-14
CCC(C)O,6.857,2023-08-08
CCCC(C)O,7.145,2023-06-24
CCCCC(C)O,7.534,2023-07-07
CC(C)CN,6.68,2023-08-12
CCC(C)CN,7.173,2023-09-18
CCCC(C)CN,7.4,2023-11-03
OCCO,7.26,2023-04-07
OCCCO,6.747,2023-04-12
OCCCCO,6.909,2023-05-01
OCCCCCO,6.562,2023-06-17
NCCN,6.805,2023-07-05
NCCCN,7.01,2023-05-28
NCCCCN,6.766,2023-09-19
NCCCCCN,7.546,2023-10-14
CCC(=O)CC,6.924,2023-03-07
CCCC(=O)CC,6.977,2023-01-11
CCCCC(=O)CC,7.554,2023-01-06
CCCC(O)CC,7.214,2023-04-18
CCNCC,7.195,2023-04-05
CCCNCC,7.54,2023-06-06
CCCNCCC,6.724,2023-06-15
CCOCC,7.272,2023-04-07
CCCOCC,6.979,2023-03-18
CCCOCCC,7.073,2023-06-08
CCCSCC,7.183,2023-03-05
CC=CC,6.884,2023-08-18
CC=CCC,7.447,2023-02-18
CCCC(C)(C)C,7.424,2023-09-20
CCC(C)(C)CC,7.398,2023-07-14
CCCCCC(=O)O,7.176,2023-08-02
CCCCCCC(=O)O,7.226,2023-09-04
CCCC(O)CCC,7.828,2023-07-11
CCCCC(O)CC,6.943,2023-11-17
CCC(C)(C)C,7.544,2023-08-23
CCCCCCCCCCC,7.853,2023-04-25
CCCCCCCCCCCC,8.024,2023-01-17
CCCCCCCCCCCCC,7.729,2023-03-13
CCCCCCCCCCCCCC,7.844,2023-03-20
CCCCCCCCCCCCCCC,8.003,2023-12-10
CCCCCCCCCCCCCCCC,7.878,2023-05-19
CCCCCO,6.281,2023-02-07
CCCCCCO,7.375,2023-09-23
CCCCCCCO,7.365,2023-02-11
CCCCCCCCO,7.277,2023-03-08
CCCCCCCCCO,6.974,2023-05-18
CCCCCCCCCCO,7.473,2023-09-06
CCCCCN,7.062,2023-01-16
CCCCCCN,7.08,2023-07-05
CCCCCCCN,6.935,2023-12-26
CCCCCCCCN,7.321,2023-07-26
CCCCCCCCCN,7.208,2023-04-13
CCCC(C)CC,7.283,2023-03-22
CCCCC(C)C,7.519,2023-08-14
CCCC(CC)CC,7.378,2023-08-18
CCCCC(C)CC,7.785,2023-01-10
CCC(C)O,7.26,2023-11-18
CCCC(C)O,7.09,2023-07-07
CCCCC(C)O,7.265,2023-04-19
CC(C)CN,6.998,2023-10-03
CCC(C)CN,7.007,2023-07-10
CCCC(C)CN,7.423,2023-06-06
OCCO,6.575,2023-07-17
OCCCO,6.818,2023-04-03
OCCCCO,6.762,2023-11-02
Brc1ccccc1,7.605,2023-02-04
C1CCCCC1,7.041,2023-10-03
C1CCNCC1,7.73,2023-09-18
C1CCOCC1,6.654,2023-03-14
CC(=O)Nc1ccccc1,7.533,2023-04-04
CC(=O)O,6.823,2023-08-02
CC(=O)c1ccccc1,7.462,2023-11-16
CC(C)(C)O,7.7,2023-08-10
CC(C)Cc1ccccc1,7.197,2023-07-04
CC(C)N,7.142,2023-11-05
CC(C)O,6.382,2023-12-11
CC(C)c1ccccc1,7.489,2023-03-24
CC(C)c1ccncc1,7.185,2023-01-10
CC(N)=O,7.08,2023-11-24
CCC(=O)O,7.042,2023-04-03
