Compound_ID,pIC50_target,pIC50_off_target,Cluster
SCREEN_001,5.663,3.347,A
SCREEN_002,5.533,3.451,B
SCREEN_003,6.982,3.999,C
SCREEN_004,6.798,4.25,D
SCREEN_005,7.428,4.276,E
SCREEN_006,7.96,4.181,F
SCREEN_007,7.966,3.778,A
SCREEN_008,6.465,4.563,B
SCREEN_009,6.981,4.54,C
SCREEN_010,7.422,4.814,D
SCREEN_011,5.833,3.003,E
SCREEN_012,6.681,4.153,F
SCREEN_013,7.008,4.111,A
SCREEN_014,6.542,4.651,B
SCREEN_015,6.953,4.394,C
SCREEN_016,6.653,3.738,D
SCREEN_017,7.08,4.757,E
SCREEN_018,7.648,4.815,F
SCREEN_019,5.851,3.908,A
SCREEN_020,5.7,3.0,B
SCREEN_021,6.35,3.408,C
SCREEN_022,7.429,4.68,D
SCREEN_023,7.24,4.0,E
SCREEN_024,6.905,4.775,F
SCREEN_025,5.95,3.309,A
SCREEN_026,6.403,3.339,B
SCREEN_027,6.938,4.526,C
SCREEN_028,6.993,4.267,D
SCREEN_029,7.887,4.368,E
SCREEN_030,6.739,4.693,F
SCREEN_031,7.275,3.575,A
SCREEN_032,8.499,5.594,B
SCREEN_033,7.315,3.978,C
SCREEN_034,6.322,4.413,D
SCREEN_035,7.01,4.236,E
SCREEN_036,7.406,3.717,F
SCREEN_037,7.169,4.189,A
SCREEN_038,7.592,4.5,B
SCREEN_039,6.396,3.413,C
SCREEN_040,7.207,3.495,D
SCREEN_041,7.948,4.74,E
SCREEN_042,7.084,3.364,F
SCREEN_043,6.163,5.327,A
SCREEN_044,6.889,4.395,B
SCREEN_045,5.749,3.0,C
SCREEN_046,6.223,4.235,D
SCREEN_047,7.518,4.034,E
SCREEN_048,6.395,3.84,F
SCREEN_049,5.155,3.19,A
SCREEN_050,7.385,4.909,B
SCREEN_051,6.923,3.911,C
SCREEN_052,6.931,3.956,D
SCREEN_053,5.944,3.305,E
SCREEN_054,6.516,5.117,F
SCREEN_055,6.316,3.792,A
SCREEN_056,6.631,3.521,B
SCREEN_057,7.044,3.535,C
SCREEN_058,6.373,3.855,D
SCREEN_059,7.027,4.75,E
SCREEN_060,7.433,3.55,F
