SMILES,pIC50,date_tested
CCO,7.58,2022-07-28
c1ccccc1,7.74,2021-08-21
CC(=O)O,6.28,2021-08-26
CCCO,6.89,2021-12-28
CCCCO,6.72,2021-01-25
c1ccncc1,7.47,2021-09-24
c1ccoc1,6.69,2021-11-19
c1ccsc1,7.25,2021-08-03
CC(C)O,7.48,2022-07-26
CCCC,8.39,2021-12-07
Oc1ccccc1,7.26,2021-07-23
Nc1ccccc1,7.85,2022-08-05
Fc1ccccc1,8.03,2021-03-01
Clc1ccccc1,8.36,2021-05-15
Brc1ccccc1,8.06,2022-07-14
CCOC(C)=O,7.53,2021-11-09
O=C(O)c1ccccc1,6.78,2022-03-07
Nc1ccccc1,7.43,2021-04-04
CCC(=O)O,6.94,2021-11-04
CCCC(=O)O,7.27,2021-07-27
c1ccc(-c2ccccc2)cc1,8.11,2022-09-21
c1ccc2ccccc2c1,7.91,2022-12-28
CCC(C)C,7.54,2022-11-26
CCCCC,7.07,2021-12-25
CCCCCC,7.46,2021-11-25
CCN,6.98,2022-09-03
CCCN,7.19,2021-05-01
CCCCN,7.1,2021-10-12
CC(C)c1ccccc1,7.42,2022-08-09
c1ccc2ncccc2c1,7.22,2022-01-17
CCC(=O)O,6.63,2021-02-03
Oc1ccccc1,6.93,2021-05-17
COc1ccccc1,7.44,2021-05-01
CC(C)(C)O,7.45,2021-03-02
CCCCCCC,6.6,2022-07-04
CCCCCCCC,8.62,2021-11-24
CC(N)=O,7.24,2022-05-20
CCOC,6.95,2022-06-22
CCC(C)C,7.3,2021-09-28
Cc1cccnc1,7.46,2021-06-16
CC(=O)c1ccccc1,7.45,2021-04-19
CCCC(=O)O,6.84,2022-03-19
CCCCC(=O)O,6.76,2021-01-08
CCc1ccccc1,7.55,2022-07-18
Cc1ccccc1,7.91,2021-09-18
Cc1ccncc1,7.88,2021-10-03
Cc1ccoc1,7.18,2022-09-20
Cc1ccsc1,7.41,2022-01-02
Cc1ccc(O)cc1,7.86,2021-09-09
CC(C)Cc1ccccc1,7.8,2021-03-16
CCO,7.26,2022-08-01
c1ccccc1,7.71,2022-04-11
CC(=O)O,7.44,2022-09-03
CCCO,8.14,2021-02-14
CCCCO,8.21,2022-09-04
c1ccncc1,7.64,2021-04-01
c1ccoc1,6.81,2022-08-07
c1ccsc1,7.63,2021-01-01
CC(C)O,7.56,2022-07-22
CCCC,9.27,2022-06-06
Oc1ccccc1,7.78,2021-11-02
Nc1ccccc1,7.14,2021-01-28
Fc1ccccc1,8.05,2022-03-04
Clc1ccccc1,7.88,2021-01-17
Brc1ccccc1,7.57,2022-05-06
CCOC(C)=O,7.23,2021-12-09
O=C(O)c1ccccc1,7.02,2022-05-03
Nc1ccccc1,7.44,2022-01-20
CCC(=O)O,6.63,2021-01-03
CCCC(=O)O,6.33,2022-02-25
c1ccc(-c2ccccc2)cc1,8.31,2021-08-14
c1ccc2ccccc2c1,7.57,2022-02-15
CCC(C)C,8.27,2021-08-01
CCCCC,7.8,2021-11-22
CCCCCC,7.12,2021-10-03
CCN,6.68,2022-09-24
CCCN,7.2,2021-04-13
CCCCN,7.66,2022-01-08
CC(C)c1ccccc1,8.23,2022-03-23
c1ccc2ncccc2c1,7.81,2021-12-02
CCC(=O)O,7.13,2022-03-25
Oc1ccccc1,6.92,2022-06-26
COc1ccccc1,7.27,2022-06-15
CC(C)(C)O,7.58,2022-11-28
CCCCCCC,8.33,2022-12-12
CCCCCCCC,7.63,2021-07-04
CC(N)=O,6.64,2022-03-23
CCOC,7.63,2022-04-16
CCC(C)C,7.75,2022-03-17
Cc1cccnc1,7.64,2022-03-28
CC(=O)c1ccccc1,6.97,2022-05-23
CCCC(=O)O,7.51,2021-09-12
CCCCC(=O)O,6.52,2021-02-22
CCc1ccccc1,7.51,2022-09-08
Cc1ccccc1,7.76,2021-07-05
Cc1ccncc1,7.71,2022-07-03
Cc1ccoc1,7.12,2021-06-25
Cc1ccsc1,7.03,2021-12-05
Cc1ccc(O)cc1,7.22,2022-04-05
CC(C)Cc1ccccc1,7.42,2022-10-26
CCO,5.59,2021-05-23
c1ccccc1,7.14,2022-10-22
CC(=O)O,6.8,2021-10-26
CCCO,7.31,2021-10-01
CCCCO,8.25,2022-08-16
c1ccncc1,7.61,2021-02-17
c1ccoc1,7.64,2022-08-12
c1ccsc1,8.11,2022-03-28
CC(C)O,7.36,2021-05-12
CCCC,7.6,2021-01-01
Oc1ccccc1,6.77,2021-12-14
