Compound_ID,pIC50,Replicate,Plate_ID
CPD_001,6.112,1,PLATE_C
CPD_001,6.307,2,PLATE_C
CPD_001,6.297,3,PLATE_C
CPD_002,7.413,1,PLATE_D
CPD_002,7.518,2,PLATE_D
CPD_002,7.382,3,PLATE_D
CPD_003,8.357,1,PLATE_B
CPD_003,8.455,2,PLATE_B
CPD_003,8.546,3,PLATE_B
CPD_004,7.934,1,PLATE_D
CPD_004,7.864,2,PLATE_D
CPD_004,7.864,3,PLATE_D
CPD_005,8.059,1,PLATE_D
CPD_005,7.819,2,PLATE_D
CPD_005,7.874,3,PLATE_D
CPD_006,8.213,1,PLATE_B
CPD_006,8.194,2,PLATE_B
CPD_006,8.109,3,PLATE_B
CPD_007,8.572,1,PLATE_B
CPD_007,8.807,2,PLATE_B
CPD_007,8.722,3,PLATE_B
CPD_008,7.081,1,PLATE_D
CPD_008,7.161,2,PLATE_D
CPD_008,7.181,3,PLATE_D
CPD_009,7.857,1,PLATE_B
CPD_009,8.032,2,PLATE_B
CPD_009,8.112,3,PLATE_B
CPD_010,7.428,1,PLATE_B
CPD_010,7.488,2,PLATE_B
CPD_010,7.538,3,PLATE_B
CPD_011,8.94,1,PLATE_D
CPD_011,8.739,2,PLATE_D
CPD_011,8.835,3,PLATE_D
CPD_012,6.958,1,PLATE_A
CPD_012,6.806,2,PLATE_A
CPD_012,6.744,3,PLATE_A
CPD_013,3.633,1,PLATE_A
CPD_013,5.822,2,PLATE_A
CPD_013,8.177,3,PLATE_A
CPD_014,8.702,1,PLATE_B
CPD_014,8.791,2,PLATE_B
CPD_014,8.792,3,PLATE_B
CPD_015,6.557,1,PLATE_A
CPD_015,8.721,2,PLATE_A
CPD_015,10.674,3,PLATE_A
CPD_016,3.825,1,PLATE_A
CPD_016,6.217,2,PLATE_A
CPD_016,8.207,3,PLATE_A
CPD_017,3.387,1,PLATE_A
CPD_017,5.096,2,PLATE_A
CPD_017,7.05,3,PLATE_A
CPD_018,8.804,1,PLATE_A
CPD_018,8.999,2,PLATE_A
CPD_018,8.744,3,PLATE_A
CPD_019,6.174,1,PLATE_B
CPD_019,6.034,2,PLATE_B
CPD_019,5.978,3,PLATE_B
CPD_020,4.151,1,PLATE_C
CPD_020,6.094,2,PLATE_C
CPD_020,7.69,3,PLATE_C
CPD_021,6.117,1,PLATE_A
CPD_021,6.183,2,PLATE_A
CPD_021,6.249,3,PLATE_A
CPD_022,6.604,1,PLATE_B
CPD_022,6.544,2,PLATE_B
CPD_022,6.625,3,PLATE_B
CPD_023,5.343,1,PLATE_B
CPD_023,6.971,2,PLATE_B
CPD_023,9.357,3,PLATE_B
CPD_024,8.203,1,PLATE_B
CPD_024,8.036,2,PLATE_B
CPD_024,8.287,3,PLATE_B
CPD_025,5.803,1,PLATE_A
CPD_025,5.764,2,PLATE_A
CPD_025,5.743,3,PLATE_A
CPD_026,8.374,1,PLATE_A
CPD_026,8.278,2,PLATE_A
CPD_026,8.407,3,PLATE_A
CPD_027,8.769,1,PLATE_D
CPD_027,8.651,2,PLATE_D
CPD_027,8.596,3,PLATE_D
CPD_028,6.842,1,PLATE_D
CPD_028,6.831,2,PLATE_D
CPD_028,6.817,3,PLATE_D
CPD_029,6.336,1,PLATE_B
CPD_029,6.127,2,PLATE_B
CPD_029,6.245,3,PLATE_B
CPD_030,7.089,1,PLATE_D
CPD_030,7.276,2,PLATE_D
CPD_030,7.278,3,PLATE_D
CPD_031,4.989,1,PLATE_B
CPD_031,4.938,2,PLATE_B
CPD_031,5.133,3,PLATE_B
CPD_032,6.34,1,PLATE_A
CPD_032,6.353,2,PLATE_A
CPD_032,6.272,3,PLATE_A
CPD_033,7.12,1,PLATE_B
CPD_033,7.187,2,PLATE_B
CPD_033,7.132,3,PLATE_B
CPD_034,5.799,1,PLATE_A
CPD_034,5.772,2,PLATE_A
CPD_034,5.846,3,PLATE_A
CPD_035,6.431,1,PLATE_C
CPD_035,6.578,2,PLATE_C
CPD_035,6.374,3,PLATE_C
CPD_036,8.349,1,PLATE_B
CPD_036,8.131,2,PLATE_B
CPD_036,8.281,3,PLATE_B
CPD_037,8.843,1,PLATE_C
CPD_037,9.007,2,PLATE_C
CPD_037,8.96,3,PLATE_C
CPD_038,8.164,1,PLATE_A
CPD_038,8.106,2,PLATE_A
CPD_038,8.032,3,PLATE_A
CPD_039,6.647,1,PLATE_B
CPD_039,6.535,2,PLATE_B
CPD_039,6.673,3,PLATE_B
CPD_040,5.707,1,PLATE_D
CPD_040,5.654,2,PLATE_D
CPD_040,5.813,3,PLATE_D
