SMILES,Name,LogP
CC(=O)O,MOL_0361,0.0909
CC1CCCCC1,MOL_0073,2.5866
CCCCCCC,MOL_0374,2.9767
CCC(C)C,MOL_0155,2.0524
CCOC(C)=O,MOL_0104,0.5694
CCOC(C)=O,MOL_0394,0.5694
CCCN,MOL_0377,0.3551
c1ccc(-c2ccccc2)cc1,MOL_0124,3.3536
c1ccc2ncccc2c1,MOL_0068,2.2348
CCCC(=O)O,MOL_0450,0.8711
Cc1ccccc1,MOL_0009,1.995
CCCC(=O)O,MOL_0194,0.8711
CCCCCCC,MOL_0406,2.9767
Oc1ccccc1,MOL_0084,1.3922
CCC(C)C,MOL_0371,2.0524
CCO,MOL_0388,-0.0014
Brc1ccccc1,MOL_0495,2.4491
c1ccsc1,MOL_0030,1.7481
c1ccc(-c2ccccc2)cc1,MOL_0316,3.3536
CCN,MOL_0408,-0.035
CCOC(C)=O,MOL_0490,0.5694
CCc1ccccc1,MOL_0491,2.249
CCN,MOL_0280,-0.035
CCO,MOL_0356,-0.0014
C1CCCCC1,MOL_0076,2.3406
Fc1ccccc1,MOL_0461,1.8257
CCC(=O)O,MOL_0497,0.481
CCC(C)C,MOL_0211,2.0524
CCCO,MOL_0101,0.3887
Clc1ccccc1,MOL_0334,2.34
CCC(C)C,MOL_0475,2.0524
CC(C)O,MOL_0336,0.3871
CCN,MOL_0440,-0.035
Fc1ccccc1,MOL_0173,1.8257
c1ccccc1,MOL_0002,1.6866
Fc1ccccc1,MOL_0333,1.8257
CCCN,MOL_0409,0.3551
C1CCCCC1,MOL_0070,2.3406
CCC(=O)O,MOL_0209,0.481
Cc1cnc2ccccc2c1,MOL_0063,2.5432
Oc1ccccc1,MOL_0384,1.3922
Cc1ccc(N)cc1,MOL_0093,1.5772
CCCO,MOL_0485,0.3887
CCCN,MOL_0185,0.3551
Cc1ccsc1,MOL_0033,2.0565
CC1CCCCC1,MOL_0077,2.5866
c1ccccc1,MOL_0000,1.6866
Cc1ccncc1,MOL_0011,1.39
Nc1ccccc1,MOL_0415,1.2688
c1ccoc1,MOL_0022,1.2796
C1CCCCC1,MOL_0072,2.3406
CCCCCCC,MOL_0182,2.9767
c1ccncc1,MOL_0131,1.0816
CCCCN,MOL_0410,0.7452
CCC(=O)O,MOL_0193,0.481
Cc1ccc2[nH]ccc2c1,MOL_0055,2.4763
CCCCC,MOL_0148,2.1965
c1ccncc1,MOL_0018,1.0816
COc1ccccc1,MOL_0204,1.6952
C1CCCCC1,MOL_0078,2.3406
Clc1ccccc1,MOL_0494,2.34
CCCCO,MOL_0262,0.7788
c1ccncc1,MOL_0323,1.0816
c1ccncc1,MOL_0483,1.0816
CC1CCCCC1,MOL_0079,2.5866
Cc1ccsc1,MOL_0039,2.0565
c1ccncc1,MOL_0451,1.0816
c1ccc2ccccc2c1,MOL_0046,2.8398
Clc1ccccc1,MOL_0238,2.34
CC(=O)O,MOL_0391,0.0909
Oc1ccccc1,MOL_0352,1.3922
CCCCCC,MOL_0341,2.5866
CCCCCC,MOL_0277,2.5866
CCCC(=O)O,MOL_0290,0.8711
c1ccc2ncccc2c1,MOL_0317,2.2348
CC(C)O,MOL_0304,0.3871
COc1ccccc1,MOL_0268,1.6952
Cc1cnc2ccccc2c1,MOL_0069,2.5432
CC(=O)O,MOL_0455,0.0909
CCC(=O)O,MOL_0465,0.481
CCCCN,MOL_0154,0.7452
Oc1ccccc1,MOL_0082,1.3922
c1ccc2ncccc2c1,MOL_0477,2.2348
COc1ccccc1,MOL_0172,1.6952
CCC(=O)O,MOL_0321,0.481
Nc1ccccc1,MOL_0090,1.2688
CCCCC,MOL_0180,2.1965
O=C(O)c1ccccc1,MOL_0414,1.3848
CCN,MOL_0312,-0.035
CCCCCCC,MOL_0278,2.9767
c1ccc2ncccc2c1,MOL_0381,2.2348
CCN,MOL_0472,-0.035
CCOC(C)=O,MOL_0362,0.5694
CCO,MOL_0324,-0.0014
Brc1ccccc1,MOL_0431,2.4491
CCC(C)C,MOL_0347,2.0524
Oc1ccccc1,MOL_0086,1.3922
CC1CCCCC1,MOL_0075,2.5866
CCCCCCC,MOL_0438,2.9767
Cc1ccncc1,MOL_0015,1.39
CCCN,MOL_0249,0.3551
CCC(=O)O,MOL_0433,0.481
Cc1ccncc1,MOL_0019,1.39
CCCC(=O)O,MOL_0322,0.8711
COc1ccccc1,MOL_0332,1.6952
c1ccc2[nH]ccc2c1,MOL_0056,2.1679
