Row_ID,Identifier,Identifier_Type
R001,Gleevec,brand
R002,imatinib,inn
R003,152459-95-5,cas
R004,Iressa,brand
R005,gefitinib,inn
R006,184475-35-2,cas
R007,Tarceva,brand
R008,erlotinib,inn
R009,183321-74-6,cas
R010,Sutent,brand
R011,sunitinib,inn
R012,557795-19-4,cas
R013,Nexavar,brand
R014,sorafenib,inn
R015,284461-73-0,cas
R016,Sprycel,brand
R017,dasatinib,inn
R018,302962-49-8,cas
R019,Tykerb,brand
R020,lapatinib,inn
R021,231277-92-2,cas
R022,Tasigna,brand
R023,nilotinib,inn
R024,641571-10-0,cas
R025,Bosulif,brand
R026,bosutinib,inn
R027,380843-75-4,cas
R028,Caprelsa,brand
R029,vandetanib,inn
R030,443913-73-3,cas
