Compound_ChEMBL_ID,pIC50
CHEMBL68920,7.387
CHEMBL69960,6.77
CHEMBL137635,5.032
CHEMBL306988,3.301
CHEMBL66879,2.523
CHEMBL77085,4.018
CHEMBL443268,5.275
CHEMBL76979,3.578
CHEMBL76589,6.903
CHEMBL77724,2.903
CHEMBL420385,3.204
CHEMBL76904,4.456
CHEMBL1009,3.046
CHEMBL304271,9.347
CHEMBL296407,5.0
CHEMBL309625,4.222
CHEMBL77825,3.222
CHEMBL421877,3.071
CHEMBL77278,2.87
CHEMBL310798,5.523
CHEMBL135592,5.097
CHEMBL309866,2.886
CHEMBL77381,2.866
CHEMBL76602,3.783
CHEMBL77737,3.602
CHEMBL76983,2.903
CHEMBL308134,3.903
CHEMBL136491,7.854
CHEMBL77280,2.903
CHEMBL76557,3.204
