Compound_ID,pIC50,Batch,Is_Reference
REF_001,7.462,1,True
REF_002,5.75,1,True
REF_003,6.921,1,True
REF_004,8.023,1,True
REF_005,6.056,1,True
REF_006,6.127,1,True
REF_007,6.13,1,True
REF_008,5.602,1,True
REF_009,7.676,1,True
REF_010,6.868,1,True
BATCH1_001,5.672,1,False
BATCH1_002,7.767,1,False
BATCH1_003,5.17,1,False
BATCH1_004,7.401,1,False
BATCH1_005,5.419,1,False
BATCH1_006,7.392,1,False
BATCH1_007,7.321,1,False
BATCH1_008,6.363,1,False
BATCH1_009,5.502,1,False
BATCH1_010,5.444,1,False
BATCH1_011,8.349,1,False
BATCH1_012,6.834,1,False
BATCH1_013,7.277,1,False
BATCH1_014,6.198,1,False
BATCH1_015,6.799,1,False
BATCH1_016,8.456,1,False
BATCH1_017,8.611,1,False
BATCH1_018,5.338,1,False
BATCH1_019,5.267,1,False
BATCH1_020,5.82,1,False
REF_001,7.74,2,True
REF_002,6.039,2,True
REF_003,7.198,2,True
REF_004,8.347,2,True
REF_005,6.326,2,True
REF_006,6.422,2,True
REF_007,6.419,2,True
REF_008,5.877,2,True
REF_009,7.922,2,True
REF_010,7.107,2,True
BATCH2_001,8.527,2,False
BATCH2_002,7.487,2,False
BATCH2_003,6.693,2,False
BATCH2_004,9.174,2,False
BATCH2_005,5.766,2,False
BATCH2_006,6.853,2,False
BATCH2_007,6.5,2,False
BATCH2_008,7.436,2,False
BATCH2_009,7.842,2,False
BATCH2_010,8.072,2,False
BATCH2_011,6.792,2,False
BATCH2_012,9.316,2,False
BATCH2_013,6.978,2,False
BATCH2_014,6.806,2,False
BATCH2_015,7.092,2,False
BATCH2_016,8.939,2,False
BATCH2_017,9.236,2,False
BATCH2_018,8.271,2,False
BATCH2_019,6.789,2,False
BATCH2_020,6.449,2,False
REF_001,7.262,3,True
REF_002,5.486,3,True
REF_003,6.759,3,True
REF_004,7.812,3,True
REF_005,5.778,3,True
REF_006,5.936,3,True
REF_007,6.003,3,True
REF_008,5.439,3,True
REF_009,7.458,3,True
REF_010,6.64,3,True
BATCH3_001,8.152,3,False
BATCH3_002,7.197,3,False
BATCH3_003,7.778,3,False
BATCH3_004,6.206,3,False
BATCH3_005,5.622,3,False
BATCH3_006,6.472,3,False
BATCH3_007,5.737,3,False
BATCH3_008,7.86,3,False
BATCH3_009,5.349,3,False
BATCH3_010,8.498,3,False
BATCH3_011,4.838,3,False
BATCH3_012,7.938,3,False
BATCH3_013,5.768,3,False
BATCH3_014,8.431,3,False
BATCH3_015,8.442,3,False
BATCH3_016,5.533,3,False
BATCH3_017,6.477,3,False
BATCH3_018,5.509,3,False
BATCH3_019,6.135,3,False
BATCH3_020,7.207,3,False
