Compound_ID,IC50_value,Unit,Target
CPD_060,5.1179,uM,EGFR
CPD_050,9.3176,uM,EGFR
CPD_079,1.6814,uM,EGFR
CPD_020,204.1393,nM,EGFR
CPD_045,3652.1018,nM,EGFR
CPD_013,4882.2562,nM,EGFR
CPD_052,4.2129,uM,EGFR
CPD_001,3063.0156,nM,EGFR
CPD_036,9072.6333,nM,EGFR
CPD_066,1.6446,uM,EGFR
CPD_017,4701.7981,nM,EGFR
CPD_048,5496.9481,nM,EGFR
CPD_044,197.189,nM,EGFR
CPD_022,9655.1259,nM,EGFR
CPD_078,6.6167,uM,EGFR
CPD_063,5.0648,uM,EGFR
CPD_018,1273.8382,nM,EGFR
CPD_049,4.3619,uM,EGFR
CPD_014,9208.3407,nM,EGFR
CPD_068,7.3009,uM,EGFR
CPD_054,4.4209,uM,EGFR
CPD_069,5.6262,uM,EGFR
CPD_006,1958.6234,nM,EGFR
CPD_077,8.2114,uM,EGFR
CPD_027,6692.1265,nM,EGFR
CPD_067,1.0982,uM,EGFR
CPD_040,8786.1552,nM,EGFR
CPD_038,3804.2794,nM,EGFR
CPD_021,7055.155,nM,EGFR
CPD_039,3942.5215,nM,EGFR
CPD_051,2.9496,uM,EGFR
CPD_080,6.9853,uM,EGFR
CPD_004,4305.7842,nM,EGFR
CPD_070,8.9203,uM,EGFR
CPD_016,4111.1552,nM,EGFR
CPD_031,2462.6315,nM,EGFR
CPD_035,615.629,nM,EGFR
CPD_065,1.9218,uM,EGFR
CPD_003,1961.4046,nM,EGFR
CPD_032,6042.3527,nM,EGFR
CPD_059,7.3853,uM,EGFR
CPD_008,2233.197,nM,EGFR
CPD_056,7.6023,uM,EGFR
CPD_002,2651.3706,nM,EGFR
CPD_058,7.2213,uM,EGFR
CPD_072,8.9478,uM,EGFR
CPD_075,8.9335,uM,EGFR
CPD_026,9919.7035,nM,EGFR
CPD_071,1.9516,uM,EGFR
CPD_046,4695.9195,nM,EGFR
CPD_041,1119.1828,nM,EGFR
CPD_012,412.2642,nM,EGFR
CPD_029,1755.5338,nM,EGFR
CPD_028,6930.7044,nM,EGFR
CPD_062,7.707,uM,EGFR
CPD_034,4178.0468,nM,EGFR
CPD_007,3528.7001,nM,EGFR
CPD_076,6.6895,uM,EGFR
CPD_073,0.4266,uM,EGFR
CPD_019,9823.5676,nM,EGFR
CPD_047,2453.42,nM,EGFR
CPD_024,6059.3417,nM,EGFR
CPD_064,3.6548,uM,EGFR
CPD_053,2.4989,uM,EGFR
CPD_025,2174.586,nM,EGFR
CPD_005,232.1124,nM,EGFR
CPD_043,5686.0483,nM,EGFR
CPD_042,4343.4335,nM,EGFR
CPD_061,2.6022,uM,EGFR
CPD_030,8304.6576,nM,EGFR
CPD_015,1091.9097,nM,EGFR
CPD_055,5.8343,uM,EGFR
CPD_011,8535.8232,nM,EGFR
CPD_023,3528.1012,nM,EGFR
CPD_033,8185.3021,nM,EGFR
CPD_037,7338.9203,nM,EGFR
CPD_074,4.4339,uM,EGFR
CPD_057,7.3345,uM,EGFR
CPD_009,6135.605,nM,EGFR
CPD_010,5804.9907,nM,EGFR
